emotion,rank,phrase,mean_tfidf
Anger,1,serangan jantung,0.039643
Anger,2,kira kira,0.037497
Anger,3,bagus bagus,0.035714
Anger,4,salah satu,0.030701
Anger,5,usah banyak,0.030277
Anger,6,satu satunya,0.028307
Anger,7,teman teman,0.028116
Anger,8,speed 1,0.026357
Anger,9,satu paling,0.026169
Anger,10,hati hati,0.02535
Anger,11,real madrid,0.025155
Anger,12,kaya kaya,0.02506
Anger,13,nah menarik,0.024359
Anger,14,satu sisi,0.021684
Anger,15,game changer,0.021643
Anger,16,hari masalah,0.021285
Anger,17,masalah hari,0.021285
Anger,18,latihan beban,0.02124
Anger,19,harga rp,0.021234
Anger,20,nah gimana,0.021062
Anger,21,kena serangan,0.02105
Anger,22,misalkan gini,0.020693
Anger,23,tahan terhadap,0.020527
Anger,24,luar biasa,0.01975
Anger,25,makanan sehat,0.019698
Anger,26,ekonomi indonesia,0.019321
Anger,27,rata rata,0.018273
Anger,28,bukan hanya,0.017969
Anger,29,betul betul,0.017898
Anger,30,beliau adalah,0.017428
