emotion,rank,word,mean_tfidf
Anger,1,itu,0.075038
Anger,2,yang,0.072932
Anger,3,orang,0.072681
Anger,4,di,0.051794
Anger,5,kita,0.049072
Anger,6,ini,0.04639
Anger,7,ada,0.045041
Anger,8,gak,0.041413
Anger,9,saya,0.038437
Anger,10,tidak,0.035626
Anger,11,ya,0.035175
Anger,12,jadi,0.033612
Anger,13,tuh,0.033057
Anger,14,dan,0.032848
Anger,15,bisa,0.032834
Anger,16,kalau,0.0323
Anger,17,bukan,0.031041
Anger,18,udah,0.029725
Anger,19,tapi,0.029396
Anger,20,kan,0.02772
Anger,21,mereka,0.027356
Anger,22,dari,0.026493
Anger,23,jawa,0.026271
Anger,24,jantung,0.026084
Anger,25,gitu,0.026072
Anger,26,donut,0.025917
Anger,27,karena,0.025288
Anger,28,ga,0.025125
Anger,29,masalah,0.024315
Anger,30,dia,0.024063
