emotion,rank,word,mean_tfidf
Anger,1,bukan,0.033384
Anger,2,jawa,0.0291
Anger,3,masalah,0.0275
Anger,4,jantung,0.027186
Anger,5,donut,0.026444
Anger,6,kemampuan,0.024816
Anger,7,satu,0.024022
Anger,8,indonesia,0.023579
Anger,9,kau,0.023518
Anger,10,bagus,0.023013
Anger,11,kalian,0.022967
Anger,12,nah,0.022765
Anger,13,teori,0.022012
Anger,14,speed,0.021625
Anger,15,kira,0.021362
Anger,16,teman,0.020941
Anger,17,minggir,0.020544
Anger,18,politik,0.019346
Anger,19,banyak,0.018992
Anger,20,lihat,0.018818
Anger,21,gampang,0.018129
Anger,22,berapa,0.018044
Anger,23,kaya,0.0177
Anger,24,lawan,0.017519
Anger,25,semua,0.017485
Anger,26,gini,0.017402
Anger,27,dikasih,0.016809
Anger,28,stress,0.016681
Anger,29,betul,0.01639
Anger,30,punya,0.016156
