emotion,rank,phrase,mean_tfidf
Anger,1,masalah hari masalah,0.071429
Anger,2,salah satu paling,0.067086
Anger,3,kena serangan jantung,0.045571
Anger,4,memang luar biasa,0.035714
Anger,5,malam hari cari,0.035714
Anger,6,sampai berapa kali,0.035714
Anger,7,semua masyarakat indonesia,0.035714
Anger,8,nah menurut kalian,0.035714
Anger,9,latihan beban menjadi,0.035714
Anger,10,kaya kaya kaya,0.028697
Anger,11,gini gini gini,0.027001
Anger,12,terlalu lebar gini,0.025836
Anger,13,segi harga punya,0.025254
Anger,14,harganya murah meriah,0.025254
Anger,15,sedikit tips kalian,0.024658
Anger,16,speed 1 2,0.024022
Anger,17,oke terima kasih,0.023376
Anger,18,1 2 3,0.019439
Anger,19,sebagai salah satu,0.018269
Anger,20,tekanan darah tinggi,0.017436
Anger,21,salah satu faktor,0.017436
Anger,22,tau salah satu,0.017067
Anger,23,terima kasih pak,0.016014
Anger,24,salah satu bentuk,0.015034
Anger,25,anak anak mungkin,0.015034
Anger,26,semua penyakit metabolik,0.013651
Anger,27,satu studi terbaru,0.013651
Anger,28,sampai kira kira,0.013073
Anger,29,s go pertama,0.013073
Anger,30,semangat stay hard,0.013073
