emotion,rank,phrase,mean_tfidf
Fear,1,saham naik,0.085978
Fear,2,naik turun,0.060101
Fear,3,saham turun,0.059819
Fear,4,semua hidup,0.058976
Fear,5,hati hati,0.056749
Fear,6,pendaraan otak,0.054423
Fear,7,serangan jantung,0.049083
Fear,8,memang akhirnya,0.048227
Fear,9,lalu turun,0.047648
Fear,10,adalah hasil,0.046029
Fear,11,olah raga,0.045701
Fear,12,jalan jalan,0.043303
Fear,13,saham saham,0.042903
Fear,14,besar banyak,0.04143
Fear,15,pemburu darah,0.04143
Fear,16,sampai sampai,0.040587
Fear,17,paling bawah,0.03764
Fear,18,paling rendah,0.036362
Fear,19,hari cari,0.034302
Fear,20,keluar biar,0.034302
Fear,21,indonesia perlu,0.031525
Fear,22,malam hari,0.028971
Fear,23,jalan coba,0.026755
Fear,24,jalan gias,0.026755
Fear,25,cewek cewek,0.026755
Fear,26,sel kulit,0.026098
Fear,27,apalagi sering,0.026098
Fear,28,kulit gampang,0.026098
Fear,29,keluar satu,0.025233
Fear,30,eh ternyata,0.024909
