emotion,rank,word,mean_tfidf
Fear,1,saham,0.08644
Fear,2,yang,0.056574
Fear,3,kita,0.0532
Fear,4,saya,0.051101
Fear,5,itu,0.049653
Fear,6,pusar,0.048741
Fear,7,lu,0.04874
Fear,8,otak,0.047361
Fear,9,turun,0.046047
Fear,10,ya,0.045019
Fear,11,triangle,0.042482
Fear,12,ini,0.038799
Fear,13,kalau,0.037611
Fear,14,jalan,0.037468
Fear,15,dan,0.036788
Fear,16,safat,0.035601
Fear,17,terangkono,0.035076
Fear,18,di,0.033981
Fear,19,kan,0.033301
Fear,20,cewek,0.033253
Fear,21,hati,0.032445
Fear,22,kb,0.032261
Fear,23,kamu,0.031917
Fear,24,rian,0.03134
Fear,25,wanita,0.031033
Fear,26,jangan,0.030675
Fear,27,akan,0.028482
Fear,28,pasar,0.028209
Fear,29,setiap,0.027397
Fear,30,gak,0.026299
