emotion,rank,word,mean_tfidf
Fear,1,saham,0.09336
Fear,2,pusar,0.051261
Fear,3,turun,0.049418
Fear,4,otak,0.048169
Fear,5,triangle,0.043192
Fear,6,jalan,0.03849
Fear,7,safat,0.037895
Fear,8,terangkono,0.036848
Fear,9,cewek,0.034653
Fear,10,hati,0.034261
Fear,11,mindset,0.033967
Fear,12,kb,0.033686
Fear,13,jangan,0.032577
Fear,14,wanita,0.032404
Fear,15,rian,0.032155
Fear,16,pasar,0.03101
Fear,17,koroktor,0.027537
Fear,18,bitcoin,0.027199
Fear,19,susah,0.026895
Fear,20,nyangkut,0.026622
Fear,21,takut,0.026066
Fear,22,kejutan,0.025171
Fear,23,budiman,0.024565
Fear,24,pilih,0.024272
Fear,25,olah,0.023923
Fear,26,aktivitas,0.023854
Fear,27,naik,0.02374
Fear,28,atasnya,0.023547
Fear,29,keluar,0.023283
Fear,30,agresif,0.023157
