emotion,rank,phrase,mean_tfidf
Fear,1,saham naik turun,0.133333
Fear,2,malam hari cari,0.066667
Fear,3,sel kulit mati,0.066667
Fear,4,jalan jalan gias,0.066667
Fear,5,pagi sore hari,0.04714
Fear,6,satu sisi tubuh,0.04714
Fear,7,salah satu sisi,0.04714
Fear,8,share kolom komentar,0.04714
Fear,9,memiliki mindset benar,0.020333
Fear,10,sebenarnya barokah aktivitas,0.010167
Fear,11,nia bilang sejati,0.010167
Fear,12,teruskan dr nia,0.010167
Fear,13,mindset benar teruskan,0.010167
Fear,14,mindset benar kejutan,0.010167
Fear,15,mindset apabila memiliki,0.010167
Fear,16,membantu revaluasi mindset,0.010167
Fear,17,mengawasi allah terima,0.010167
Fear,18,membuat waktu menyerahkan,0.010167
Fear,19,mencari kecil sebenarnya,0.010167
Fear,20,menyerahkan adalah mindset,0.010167
Fear,21,waktu menyerahkan adalah,0.010167
Fear,22,rasa membantu revaluasi,0.010167
Fear,23,rasa lakukan adalah,0.010167
Fear,24,sejati aktivitas besar,0.010167
Fear,25,revaluasi mindset rasa,0.010167
Fear,26,rasa berbagi jika,0.010167
Fear,27,mindset rasa berbagi,0.010167
Fear,28,lakukan adalah membuat,0.010167
Fear,29,kejutan kejutan kejutan,0.010167
Fear,30,kejutan kejutan aktivitas,0.010167
