emotion,rank,phrase,mean_tfidf
Joy,1,terima kasih,0.052141
Joy,2,teman teman,0.02841
Joy,3,glory glory,0.025385
Joy,4,luar biasa,0.025184
Joy,5,19 tahun,0.024012
Joy,6,dki jakarta,0.022887
Joy,7,enak kalian,0.022727
Joy,8,pemain pemain,0.022727
Joy,9,para pecinta,0.022727
Joy,10,tim nasional,0.021865
Joy,11,mas mas,0.017844
Joy,12,jakarta menang,0.01756
Joy,13,off road,0.01702
Joy,14,agak sedikit,0.016833
Joy,15,dipon 21,0.016533
Joy,16,ivan gunawan,0.01652
Joy,17,menyerang lawan,0.016441
Joy,18,kerana menonton,0.016088
Joy,19,kasih kerana,0.016088
Joy,20,kalah kalah,0.016071
Joy,21,lihat kasih,0.016071
Joy,22,datang jakarta,0.015949
Joy,23,back to,0.015692
Joy,24,gias 2025,0.015423
Joy,25,warga jakarta,0.015332
Joy,26,segala macam,0.01527
Joy,27,jakarta indonesia,0.015215
Joy,28,oke oke,0.015062
Joy,29,4 perunggu,0.015004
Joy,30,nama baik,0.014695
