emotion,rank,word,mean_tfidf
Joy,1,ini,0.058547
Joy,2,jakarta,0.053126
Joy,3,dan,0.050584
Joy,4,yang,0.048362
Joy,5,saya,0.03724
Joy,6,di,0.03576
Joy,7,kita,0.035128
Joy,8,bisa,0.033017
Joy,9,ada,0.030969
Joy,10,mobil,0.029453
Joy,11,untuk,0.028727
Joy,12,itu,0.027362
Joy,13,bicara,0.026675
Joy,14,lagi,0.025385
Joy,15,banget,0.024708
Joy,16,aku,0.024688
Joy,17,teman,0.023899
Joy,18,dengan,0.023898
Joy,19,kalian,0.023543
Joy,20,juga,0.023173
Joy,21,sekali,0.023013
Joy,22,menang,0.022527
Joy,23,glory,0.022108
Joy,24,ke,0.021882
Joy,25,ya,0.021285
Joy,26,dari,0.019794
Joy,27,indonesia,0.019564
Joy,28,nih,0.019195
Joy,29,dia,0.019037
Joy,30,oxford,0.017933
