emotion,rank,word,mean_tfidf
Joy,1,jakarta,0.055028
Joy,2,mobil,0.0312
Joy,3,bicara,0.027182
Joy,4,teman,0.025616
Joy,5,kalian,0.024987
Joy,6,sekali,0.02479
Joy,7,menang,0.023105
Joy,8,glory,0.022484
Joy,9,indonesia,0.020395
Joy,10,tim,0.018371
Joy,11,oxford,0.017976
Joy,12,kasih,0.017514
Joy,13,banyak,0.016933
Joy,14,fit,0.016888
Joy,15,3,0.015687
Joy,16,azik,0.015259
Joy,17,lux,0.015215
Joy,18,hari,0.014969
Joy,19,atlet,0.014801
Joy,20,ayo,0.014532
Joy,21,naik,0.014474
Joy,22,kuyup,0.014248
Joy,23,selamat,0.014242
Joy,24,perunggu,0.014137
Joy,25,terima,0.014064
Joy,26,enak,0.013439
Joy,27,nah,0.013374
Joy,28,semua,0.013297
Joy,29,nama,0.01317
Joy,30,olaraga,0.013164
