emotion,rank,phrase,mean_tfidf
Joy,1,menghasilkan atlet atlet,0.029314
Joy,2,datang jakarta menang,0.027208
Joy,3,membawa nama baik,0.026269
Joy,4,jakarta datang jakarta,0.024622
Joy,5,terima kasih kerana,0.024147
Joy,6,kasih kerana menonton,0.024147
Joy,7,melihat teman teman,0.022727
Joy,8,depan salah satu,0.022727
Joy,9,jangan sampai kelewatan,0.022727
Joy,10,2025 terima kasih,0.022727
Joy,11,3 2 1,0.022727
Joy,12,nah menurut kalian,0.022727
Joy,13,test drive mobil,0.022727
Joy,14,menang sukses jakarta,0.017422
Joy,15,jakarta menang sukses,0.017422
Joy,16,set set set,0.016441
Joy,17,bener bener bikin,0.016441
Joy,18,g3 plus mobil,0.016071
Joy,19,one of my,0.016071
Joy,20,perjalanan jauh menggunakan,0.016071
Joy,21,teman teman baru,0.016071
Joy,22,mulai 299 juta,0.016071
Joy,23,langsung coba langsung,0.016071
Joy,24,sukses jakarta indonesia,0.015804
Joy,25,plug in hybrid,0.015692
Joy,26,jakarta x beauty,0.015692
Joy,27,ivan gunawan deluxe,0.014455
Joy,28,oh my god,0.013189
Joy,29,nama baik jakarta,0.013147
Joy,30,gini 8 12,0.012549
