emotion,rank,word,mean_tfidf
Love,1,ujan,0.329358
Love,2,glory,0.298761
Love,3,thank,0.260863
Love,4,kilo,0.253562
Love,5,dikasih,0.224953
Love,6,mantap,0.224953
Love,7,terakhir,0.204847
Love,8,yosua,0.183628
Love,9,doppin,0.183628
Love,10,wooo,0.183628
Love,11,النine,0.183628
Love,12,finess,0.183628
Love,13,eroh,0.183628
Love,14,dzięki,0.183628
Love,15,nemenin,0.172543
Love,16,you,0.169828
Love,17,run,0.14573
Love,18,k,0.13963
Love,19,long,0.13963
Love,20,lari,0.137024
Love,21,18,0.132457
Love,22,john,0.128545
Love,23,pergi,0.126781
Love,24,minggu,0.113508
Love,25,selesai,0.107832
Love,26,sekitar,0.103863
Love,27,agak,0.093527
Love,28,tahu,0.093026
Love,29,tadi,0.084914
Love,30,mungkin,0.081776
