emotion,rank,word,mean_tfidf
Love,1,ujan,0.33496
Love,2,glory,0.303842
Love,3,thank,0.265299
Love,4,kilo,0.257874
Love,5,mantap,0.228779
Love,6,dikasih,0.228779
Love,7,terakhir,0.208332
Love,8,wooo,0.186751
Love,9,yosua,0.186751
Love,10,finess,0.186751
Love,11,eroh,0.186751
Love,12,dzięki,0.186751
Love,13,doppin,0.186751
Love,14,النine,0.186751
Love,15,nemenin,0.175478
Love,16,you,0.172716
Love,17,run,0.148208
Love,18,long,0.142004
Love,19,k,0.142004
Love,20,lari,0.139355
Love,21,18,0.13471
Love,22,john,0.130731
Love,23,pergi,0.128937
Love,24,minggu,0.115439
Love,25,selesai,0.109666
Love,26,sekitar,0.105629
Love,27,agak,0.095118
Love,28,tahu,0.094608
Love,29,mungkin,0.083167
Love,30,oke,0.075085
