emotion,rank,phrase,mean_tfidf
Loyalty,1,tahun pertama,0.38542
Loyalty,2,pre order,0.19271
Loyalty,3,to search,0.19271
Loyalty,4,screen protector,0.19271
Loyalty,5,lihat sebelum,0.19271
Loyalty,6,one ui,0.19271
Loyalty,7,pertama langsung,0.19271
Loyalty,8,misalnya butuh,0.19271
Loyalty,9,kalian banyak,0.19271
Loyalty,10,info detail,0.19271
Loyalty,11,ganti layar,0.19271
Loyalty,12,fitur ai,0.19271
Loyalty,13,cover semua,0.19271
Loyalty,14,circle to,0.19271
Loyalty,15,aplikasi lain,0.19271
Loyalty,16,7 tahun,0.183926
Loyalty,17,2 tahun,0.183926
Loyalty,18,1 tahun,0.171546
Loyalty,19,langsung datang,0.171546
Loyalty,20,kolom komentar,0.171546
Loyalty,21,selama 2,0.16684
Loyalty,22,2 kali,0.16684
Loyalty,23,kanan kiri,0.159166
Loyalty,24,selama 3,0.155949
Loyalty,25,main game,0.153039
Loyalty,26,kalian suka,0.153039
Loyalty,27,3 tahun,0.153039
