emotion,rank,word,mean_tfidf
Loyalty,1,bisa,0.197284
Loyalty,2,7,0.178378
Loyalty,3,detail,0.175353
Loyalty,4,ai,0.172671
Loyalty,5,kursakan,0.162064
Loyalty,6,drop,0.162064
Loyalty,7,game,0.161619
Loyalty,8,wa,0.152281
Loyalty,9,fold,0.152281
Loyalty,10,layar,0.148902
Loyalty,11,eraser,0.14534
Loyalty,12,tahun,0.141523
Loyalty,13,drag,0.139956
Loyalty,14,nih,0.13826
Loyalty,15,dimensi,0.125774
Loyalty,16,performa,0.118833
Loyalty,17,update,0.118833
Loyalty,18,misalnya,0.118816
Loyalty,19,lalu,0.117667
Loyalty,20,android,0.116902
Loyalty,21,cover,0.116902
Loyalty,22,pakai,0.115789
Loyalty,23,info,0.115114
Loyalty,24,yang,0.107599
Loyalty,25,kamera,0.099268
Loyalty,26,lebih,0.092311
Loyalty,27,langsung,0.091468
Loyalty,28,juga,0.089306
Loyalty,29,pertama,0.088068
Loyalty,30,menarik,0.086413
