emotion,rank,word,mean_tfidf
Loyalty,1,7,0.196894
Loyalty,2,detail,0.193555
Loyalty,3,ai,0.190595
Loyalty,4,kursakan,0.178886
Loyalty,5,drop,0.178886
Loyalty,6,game,0.178396
Loyalty,7,fold,0.168088
Loyalty,8,wa,0.168088
Loyalty,9,layar,0.164358
Loyalty,10,eraser,0.160427
Loyalty,11,tahun,0.156213
Loyalty,12,drag,0.154484
Loyalty,13,dimensi,0.13883
Loyalty,14,performa,0.131169
Loyalty,15,update,0.131169
Loyalty,16,misalnya,0.13115
Loyalty,17,lalu,0.129882
Loyalty,18,android,0.129037
Loyalty,19,cover,0.129037
Loyalty,20,info,0.127063
Loyalty,21,kamera,0.109572
Loyalty,22,langsung,0.100963
Loyalty,23,pertama,0.09721
Loyalty,24,menarik,0.095383
Loyalty,25,and,0.09481
Loyalty,26,maksimum,0.089443
Loyalty,27,sekuriti,0.089443
Loyalty,28,penggantian,0.089443
Loyalty,29,pengekatan,0.089443
Loyalty,30,interactif,0.089443
