emotion,rank,phrase,mean_tfidf
Neutral,1,memberikan hasil,0.147634
Neutral,2,rumah punya,0.080357
Neutral,3,alternatif aman,0.077342
Neutral,4,workout rumah,0.071532
Neutral,5,bener bener,0.071019
Neutral,6,mual muntah,0.063483
Neutral,7,hamil mengalami,0.063483
Neutral,8,s so,0.059492
Neutral,9,ibu hamil,0.058345
Neutral,10,you need,0.052616
Neutral,11,your skin,0.049959
Neutral,12,memiliki mindset,0.048494
Neutral,13,mindset benar,0.048494
Neutral,14,kejutan kejutan,0.047888
Neutral,15,jangan khawatir,0.045318
Neutral,16,it s,0.04245
Neutral,17,skin care,0.041569
Neutral,18,perlu banyak,0.040178
Neutral,19,to notice,0.040178
Neutral,20,memindahkan beban,0.040178
Neutral,21,diatur layar,0.040178
Neutral,22,banyak space,0.040178
Neutral,23,100 kilo,0.040178
Neutral,24,video video,0.038347
Neutral,25,i m,0.038078
Neutral,26,pas tengah,0.037858
Neutral,27,banyak pilihannya,0.037858
Neutral,28,full coverage,0.036132
Neutral,29,latihan beban,0.035766
Neutral,30,semua otot,0.035766
