emotion,rank,word,mean_tfidf
Neutral,1,lo,0.106152
Neutral,2,yang,0.091909
Neutral,3,dan,0.084295
Neutral,4,mual,0.08249
Neutral,5,gue,0.076784
Neutral,6,setiap,0.074272
Neutral,7,kamu,0.072443
Neutral,8,saya,0.068447
Neutral,9,liposom,0.068147
Neutral,10,mums,0.067315
Neutral,11,speedy,0.064654
Neutral,12,mindset,0.063477
Neutral,13,beban,0.056575
Neutral,14,bener,0.055944
Neutral,15,hamil,0.055598
Neutral,16,n,0.05408
Neutral,17,banget,0.050851
Neutral,18,kejutan,0.047038
Neutral,19,laser,0.045431
Neutral,20,aktivitas,0.044577
Neutral,21,ada,0.043309
Neutral,22,kehamilan,0.042831
Neutral,23,retinal,0.042689
Neutral,24,menyerupai,0.042689
Neutral,25,s,0.042046
Neutral,26,gak,0.041895
Neutral,27,space,0.041876
Neutral,28,filter,0.041109
Neutral,29,pake,0.041006
Neutral,30,jika,0.040528
