emotion,rank,word,mean_tfidf
Neutral,1,mual,0.08576
Neutral,2,mindset,0.084919
Neutral,3,mums,0.069984
Neutral,4,liposom,0.069982
Neutral,5,speedy,0.068384
Neutral,6,bener,0.067932
Neutral,7,kejutan,0.062927
Neutral,8,beban,0.059839
Neutral,9,aktivitas,0.059635
Neutral,10,hamil,0.057802
Neutral,11,n,0.057199
Neutral,12,filter,0.054391
Neutral,13,air,0.049451
Neutral,14,shower,0.048881
Neutral,15,s,0.047074
Neutral,16,laser,0.046654
Neutral,17,jika,0.045924
Neutral,18,rasa,0.045169
Neutral,19,airnya,0.044925
Neutral,20,kehamilan,0.044529
Neutral,21,space,0.044292
Neutral,22,retinal,0.043838
Neutral,23,menyerupai,0.043838
Neutral,24,you,0.043335
Neutral,25,memiliki,0.04212
Neutral,26,headnya,0.039016
Neutral,27,workout,0.038999
Neutral,28,like,0.038405
Neutral,29,sebenarnya,0.037973
Neutral,30,i,0.037286
