emotion,rank,phrase,mean_tfidf
Neutral,1,need to notice,0.120567
Neutral,2,klik follow save,0.117851
Neutral,3,follow save video,0.117851
Neutral,4,you need to,0.115071
Neutral,5,it s so,0.11222
Neutral,6,pas tengah tengah,0.084699
Neutral,7,pokoknya bener bener,0.063032
Neutral,8,pas pertama kali,0.063032
Neutral,9,s so good,0.060159
Neutral,10,it it s,0.060159
Neutral,11,memiliki mindset benar,0.050833
Neutral,12,telling you this,0.042349
Neutral,13,really really like,0.042349
Neutral,14,tanpa berasa berat,0.042349
Neutral,15,m telling you,0.042349
Neutral,16,i m telling,0.042349
Neutral,17,finishnya velvet matte,0.042349
Neutral,18,berasa berat so,0.042349
Neutral,19,really like this,0.040419
Neutral,20,selesai make upan,0.040419
Neutral,21,coverage berasa berat,0.040419
Neutral,22,and i m,0.040419
Neutral,23,i really really,0.038922
Neutral,24,mindset benar teruskan,0.025416
Neutral,25,mindset benar kejutan,0.025416
Neutral,26,mindset apabila memiliki,0.025416
Neutral,27,teruskan dr nia,0.025416
Neutral,28,membuat waktu menyerahkan,0.025416
Neutral,29,mencari kecil sebenarnya,0.025416
Neutral,30,membantu revaluasi mindset,0.025416
