emotion,rank,phrase,mean_tfidf
Proud,1,terima kasih,0.03356
Proud,2,teman teman,0.02391
Proud,3,bener bener,0.016127
Proud,4,temen temen,0.012342
Proud,5,sepak bola,0.012288
Proud,6,jangan lupa,0.012072
Proud,7,luar biasa,0.011577
Proud,8,solar guard,0.011457
Proud,9,dekai jakarta,0.011204
Proud,10,atlet atlet,0.010823
Proud,11,mindset benar,0.010485
Proud,12,memiliki mindset,0.010485
Proud,13,kejutan kejutan,0.010354
Proud,14,dki jakarta,0.010328
Proud,15,200 ribu,0.010015
Proud,16,kalian lihat,0.009759
Proud,17,benar benar,0.009266
Proud,18,salah satu,0.009159
Proud,19,make up,0.009089
Proud,20,belakang bagian,0.009009
Proud,21,pertama kali,0.008736
Proud,22,oke john,0.008654
Proud,23,selamat datang,0.008396
Proud,24,wuling mitra,0.008269
Proud,25,jalan jalan,0.0081
Proud,26,cabang olahraga,0.008069
Proud,27,kaca film,0.007992
Proud,28,sampai jam,0.00797
Proud,29,vitamin c,0.00783
Proud,30,warna warna,0.007814
