emotion,rank,word,mean_tfidf
Proud,1,yang,0.073807
Proud,2,ini,0.066455
Proud,3,aku,0.064568
Proud,4,dan,0.057975
Proud,5,di,0.046267
Proud,6,banget,0.036941
Proud,7,saya,0.035119
Proud,8,kita,0.032838
Proud,9,juga,0.032791
Proud,10,ada,0.032298
Proud,11,kalian,0.032141
Proud,12,itu,0.031256
Proud,13,ya,0.030787
Proud,14,bisa,0.02831
Proud,15,jadi,0.02819
Proud,16,dia,0.026979
Proud,17,untuk,0.026808
Proud,18,udah,0.026488
Proud,19,kayak,0.025683
Proud,20,gue,0.025014
Proud,21,lebih,0.024866
Proud,22,tuh,0.024637
Proud,23,pakai,0.024471
Proud,24,dengan,0.024283
Proud,25,buat,0.023619
Proud,26,dari,0.022907
Proud,27,karena,0.022033
Proud,28,kalau,0.021583
Proud,29,pake,0.021321
Proud,30,lagi,0.0208
