emotion,rank,word,mean_tfidf
Proud,1,kalian,0.035572
Proud,2,warna,0.023293
Proud,3,adalah,0.019606
Proud,4,suka,0.019518
Proud,5,mindset,0.018361
Proud,6,kulit,0.016729
Proud,7,teman,0.01637
Proud,8,jakarta,0.016158
Proud,9,sampai,0.015574
Proud,10,bagian,0.015346
Proud,11,bener,0.015199
Proud,12,lihat,0.015195
Proud,13,kasih,0.01491
Proud,14,kaki,0.01435
Proud,15,aktivitas,0.014052
Proud,16,banyak,0.013964
Proud,17,rasa,0.013956
Proud,18,gini,0.013943
Proud,19,kejutan,0.013606
Proud,20,benar,0.01359
Proud,21,punya,0.013338
Proud,22,jalan,0.013278
Proud,23,warnanya,0.013097
Proud,24,gua,0.012985
Proud,25,terima,0.012932
Proud,26,hari,0.01293
Proud,27,sunscreen,0.012834
Proud,28,nah,0.012768
Proud,29,atlet,0.012281
Proud,30,otot,0.012251
