emotion,rank,phrase,mean_tfidf
Proud,1,oh my god,0.01837
Proud,2,wireless charging 50w,0.015379
Proud,3,move your hustle,0.014289
Proud,4,beberapa minggu lalu,0.014049
Proud,5,sampai jam 6,0.013542
Proud,6,pertama kali nyobain,0.011925
Proud,7,badan masa otot,0.011572
Proud,8,meraih medali emas,0.011293
Proud,9,memiliki mindset benar,0.010991
Proud,10,jalan jalan jalan,0.010929
Proud,11,sukses jakarta indonesia,0.01001
Proud,12,skin prep kalian,0.009367
Proud,13,biar bulu mata,0.009286
Proud,14,bulu mata lentik,0.009286
Proud,15,bahu bagian belakang,0.009151
Proud,16,android 15 fitur,0.009009
Proud,17,mengatasi masalah jerawat,0.009009
Proud,18,salah satu paling,0.009009
Proud,19,punya 2 warna,0.009009
Proud,20,32gb storage 1tb,0.009009
Proud,21,2025 terima kasih,0.009009
Proud,22,pola hidup sehat,0.009009
Proud,23,worth it kalian,0.009009
Proud,24,benar benar suka,0.009009
Proud,25,menang semua senang,0.009009
Proud,26,menjaga skin barrier,0.009009
Proud,27,jangan lupa follow,0.009009
Proud,28,mobil kilometer rendah,0.009009
Proud,29,atlet atlet terbaik,0.009009
Proud,30,temen temen lihat,0.009009
