emotion,rank,phrase,mean_tfidf
Sad,1,paling penting,0.0625
Sad,2,sebelah sini,0.052957
Sad,3,lihat bukan,0.050814
Sad,4,tinggi gula,0.047341
Sad,5,ibu hamil,0.042724
Sad,6,minuman manis,0.036753
Sad,7,bukan hanya,0.036389
Sad,8,menang menang,0.034489
Sad,9,muka muka,0.034489
Sad,10,hai kalian,0.03433
Sad,11,sini tunjukin,0.03433
Sad,12,sini sini,0.032766
Sad,13,mengonsumsi minuman,0.029796
Sad,14,asupan minuman,0.029796
Sad,15,les bermain,0.029796
Sad,16,sekolah les,0.029796
Sad,17,minuman tepat,0.029796
Sad,18,kalian lihat,0.029638
Sad,19,mobil bekas,0.028545
Sad,20,it s,0.028034
Sad,21,bagi kesehatan,0.027385
Sad,22,kemarin habis,0.027253
Sad,23,emang eh,0.027228
Sad,24,luar rumah,0.024502
Sad,25,tanda tanda,0.02445
Sad,26,blush on,0.023314
Sad,27,barrier rusak,0.023301
Sad,28,produk warda,0.022993
Sad,29,tiba tiba,0.022586
Sad,30,misalnya water,0.022239
