emotion,rank,word,mean_tfidf
Sad,1,gue,0.103822
Sad,2,ini,0.072764
Sad,3,aku,0.068067
Sad,4,yang,0.06422
Sad,5,anak,0.056213
Sad,6,dan,0.048006
Sad,7,banget,0.0452
Sad,8,rambut,0.043589
Sad,9,ya,0.040785
Sad,10,minuman,0.040593
Sad,11,ada,0.039895
Sad,12,kita,0.039023
Sad,13,asbak,0.037732
Sad,14,karena,0.036836
Sad,15,gak,0.03579
Sad,16,di,0.034773
Sad,17,hah,0.034241
Sad,18,juga,0.033265
Sad,19,dia,0.032446
Sad,20,udah,0.031105
Sad,21,nutrisi,0.030911
Sad,22,bawa,0.03087
Sad,23,jadi,0.030491
Sad,24,warda,0.028859
Sad,25,bisa,0.028289
Sad,26,untuk,0.027997
Sad,27,sini,0.027644
Sad,28,patuk,0.026924
Sad,29,buat,0.02668
Sad,30,pakai,0.026512
