emotion,rank,word,mean_tfidf
Sad,1,anak,0.057562
Sad,2,rambut,0.048321
Sad,3,minuman,0.041576
Sad,4,asbak,0.039376
Sad,5,hah,0.036442
Sad,6,bawa,0.03293
Sad,7,nutrisi,0.031552
Sad,8,warda,0.031498
Sad,9,sini,0.029935
Sad,10,bersiap,0.027899
Sad,11,patuk,0.027685
Sad,12,suka,0.027581
Sad,13,gajah,0.026154
Sad,14,shade,0.026115
Sad,15,ikan,0.025155
Sad,16,kulit,0.024963
Sad,17,gula,0.024872
Sad,18,perut,0.024723
Sad,19,aliran,0.024575
Sad,20,tulkit,0.023764
Sad,21,cakup,0.022924
Sad,22,mangsa,0.022096
Sad,23,asupan,0.022046
Sad,24,muka,0.021953
Sad,25,kemaren,0.021772
Sad,26,mam,0.021759
Sad,27,beli,0.02152
Sad,28,kalian,0.020943
Sad,29,anduk,0.020764
Sad,30,paddle,0.020764
