emotion,rank,phrase,mean_tfidf
Sad,1,sekolah les bermain,0.125
Sad,2,follow save video,0.0625
Sad,3,skin barrier rusak,0.047962
Sad,4,hai guys kali,0.044194
Sad,5,setelah cek ternyata,0.044194
Sad,6,oh my god,0.040008
Sad,7,tanda tanda penuaan,0.037692
Sad,8,sebelah sini lihat,0.037692
Sad,9,panggil timur inspeksi,0.036084
Sad,10,inspeksi menyeluruh plus,0.036084
Sad,11,gini kira kira,0.036084
Sad,12,that s it,0.033177
Sad,13,kasih lihat kalian,0.032632
Sad,14,eyeshadow blush on,0.029232
Sad,15,it s so,0.02484
Sad,16,something calm down,0.023981
Sad,17,misalnya water misalnya,0.023981
Sad,18,my god suka,0.014616
Sad,19,multitasking color crayon,0.014616
Sad,20,gini makanya gemes,0.014616
Sad,21,blush on lipstick,0.014616
Sad,22,blush on bibir,0.014616
Sad,23,bagus oh my,0.014616
Sad,24,is my favorite,0.013289
Sad,25,i m telling,0.013289
Sad,26,to get this,0.013289
Sad,27,you so much,0.013289
Sad,28,s super comfortable,0.013289
Sad,29,it s super,0.013289
Sad,30,check that out,0.013289
