emotion,rank,phrase,mean_tfidf
Surprise,1,terima kasih,0.026094
Surprise,2,make up,0.014728
Surprise,3,kira kira,0.014276
Surprise,4,bener bener,0.013371
Surprise,5,salah satu,0.012626
Surprise,6,tiba tiba,0.010773
Surprise,7,teman teman,0.01047
Surprise,8,temen temen,0.010369
Surprise,9,luar biasa,0.00959
Surprise,10,oh my,0.008948
Surprise,11,it s,0.008714
Surprise,12,oh oh,0.008573
Surprise,13,jangan lupa,0.008527
Surprise,14,my god,0.008465
Surprise,15,this is,0.007932
Surprise,16,let s,0.007863
Surprise,17,benar benar,0.007284
Surprise,18,s go,0.007276
Surprise,19,bikin kulit,0.007242
Surprise,20,dki jakarta,0.006887
Surprise,21,1 2,0.006798
Surprise,22,sobat sehat,0.006794
Surprise,23,2 3,0.006606
Surprise,24,bulu mata,0.006508
Surprise,25,bukan cuma,0.006484
Surprise,26,carbon fiber,0.005874
Surprise,27,bekas jerawat,0.005622
Surprise,28,3 jutaan,0.005604
Surprise,29,cacar api,0.005542
Surprise,30,km per,0.005456
