emotion,rank,word,mean_tfidf
Surprise,1,ini,0.072442
Surprise,2,yang,0.064624
Surprise,3,dan,0.050799
Surprise,4,di,0.049172
Surprise,5,aku,0.045905
Surprise,6,ya,0.039442
Surprise,7,ada,0.037909
Surprise,8,itu,0.03698
Surprise,9,gue,0.036119
Surprise,10,kita,0.035129
Surprise,11,jadi,0.03148
Surprise,12,banget,0.030904
Surprise,13,bisa,0.030751
Surprise,14,juga,0.025834
Surprise,15,tapi,0.025649
Surprise,16,dia,0.023906
Surprise,17,gak,0.023712
Surprise,18,lebih,0.023581
Surprise,19,gitu,0.023412
Surprise,20,kalau,0.02341
Surprise,21,mobil,0.023407
Surprise,22,saya,0.023227
Surprise,23,dari,0.023227
Surprise,24,kayak,0.022796
Surprise,25,udah,0.022715
Surprise,26,kamu,0.022491
Surprise,27,ke,0.021669
Surprise,28,buat,0.021664
Surprise,29,untuk,0.021618
Surprise,30,sama,0.020588
