emotion,rank,word,mean_tfidf
Surprise,1,mobil,0.025181
Surprise,2,adalah,0.021818
Surprise,3,oh,0.020127
Surprise,4,kulit,0.016862
Surprise,5,kalian,0.016426
Surprise,6,nah,0.013987
Surprise,7,2,0.013939
Surprise,8,punya,0.013822
Surprise,9,banyak,0.013679
Surprise,10,satu,0.01357
Surprise,11,gini,0.013489
Surprise,12,sampai,0.013239
Surprise,13,kasih,0.013026
Surprise,14,sini,0.012928
Surprise,15,cuma,0.012896
Surprise,16,coba,0.012781
Surprise,17,ikan,0.012642
Surprise,18,suka,0.012634
Surprise,19,1,0.012362
Surprise,20,baru,0.012227
Surprise,21,langsung,0.012205
Surprise,22,3,0.012102
Surprise,23,bukan,0.011869
Surprise,24,oke,0.01181
Surprise,25,warna,0.011412
Surprise,26,gua,0.011028
Surprise,27,bener,0.011001
Surprise,28,i,0.010725
Surprise,29,up,0.010426
Surprise,30,enak,0.00999
