emotion,rank,phrase,mean_tfidf
Surprise,1,oh my god,0.019802
Surprise,2,let s go,0.017715
Surprise,3,1 2 3,0.013944
Surprise,4,bikin kulit kering,0.010098
Surprise,5,coba komen bawah,0.008886
Surprise,6,km per liter,0.008823
Surprise,7,auto apple carplay,0.008326
Surprise,8,android auto apple,0.008326
Surprise,9,i don t,0.007986
Surprise,10,nah makanya biar,0.007812
Surprise,11,banyak sekolah sekolah,0.007812
Surprise,12,adalah salah satu,0.007664
Surprise,13,1500 cc turbo,0.006782
Surprise,14,paling tipis dunia,0.006668
Surprise,15,oh om om,0.006668
Surprise,16,bulu mata bawahnya,0.006563
Surprise,17,adaptive cruise control,0.00655
Surprise,18,nah kira kira,0.006386
Surprise,19,sub indo by,0.006357
Surprise,20,indo by broth3rmax,0.006357
Surprise,21,suv leather frame,0.006331
Surprise,22,8gb storage 256gb,0.006265
Surprise,23,s go langsung,0.006232
Surprise,24,kaya kaya kaya,0.006192
Surprise,25,buang air besar,0.006162
Surprise,26,carbon fiber carbon,0.006162
Surprise,27,3 2 1,0.006034
Surprise,28,salah satunya adalah,0.005737
Surprise,29,harga 3 jutaan,0.005669
Surprise,30,punya bekas jerawat,0.005605
