emotion,rank,phrase,mean_tfidf
Trust,1,terima kasih,0.035811
Trust,2,teman teman,0.018357
Trust,3,mindset benar,0.015789
Trust,4,memiliki mindset,0.015789
Trust,5,kejutan kejutan,0.015592
Trust,6,insya allah,0.013551
Trust,7,salah satu,0.013311
Trust,8,anak anak,0.013146
Trust,9,benar benar,0.012465
Trust,10,temen temen,0.01191
Trust,11,jangan lupa,0.011816
Trust,12,solar guard,0.011222
Trust,13,2 3,0.009851
Trust,14,pull up,0.009251
Trust,15,berat badan,0.009036
Trust,16,dk jakarta,0.008941
Trust,17,kalian lihat,0.008453
Trust,18,i love,0.008375
Trust,19,love you,0.008339
Trust,20,misalnya kalian,0.008179
Trust,21,komen bawah,0.008092
Trust,22,aktivitas rasa,0.007894
Trust,23,benar kejutan,0.007894
Trust,24,waktu menyerahkan,0.007894
Trust,25,mengawasi allah,0.007894
Trust,26,aktivitas sebenarnya,0.007894
Trust,27,barokah aktivitas,0.007894
Trust,28,dr nia,0.007894
Trust,29,aktivitas besar,0.007894
Trust,30,membantu revaluasi,0.007894
