emotion,rank,word,mean_tfidf
Trust,1,kalian,0.042771
Trust,2,mindset,0.027948
Trust,3,kulit,0.021774
Trust,4,aktivitas,0.021688
Trust,5,kejutan,0.020488
Trust,6,rasa,0.020167
Trust,7,benar,0.019705
Trust,8,adalah,0.018861
Trust,9,skin,0.017269
Trust,10,gini,0.017259
Trust,11,3,0.017123
Trust,12,satu,0.016336
Trust,13,banyak,0.015684
Trust,14,kali,0.015529
Trust,15,kasih,0.015392
Trust,16,teman,0.015004
Trust,17,allah,0.01482
Trust,18,olahraga,0.014548
Trust,19,up,0.014238
Trust,20,sebenarnya,0.014041
Trust,21,nah,0.014036
Trust,22,jakarta,0.013783
Trust,23,2,0.013773
Trust,24,waktu,0.013753
Trust,25,oke,0.013693
Trust,26,hari,0.013647
Trust,27,langsung,0.013349
Trust,28,terima,0.013227
Trust,29,indonesia,0.012709
Trust,30,mobil,0.012533
