emotion,rank,phrase,mean_tfidf
Trust,1,memiliki mindset benar,0.01655
Trust,2,i love you,0.015504
Trust,3,ikan koi ikan,0.013233
Trust,4,kehidupan sehari hari,0.013233
Trust,5,mother of pearl,0.0132
Trust,6,paling penting adalah,0.012906
Trust,7,melihat teman teman,0.012088
Trust,8,by the way,0.011894
Trust,9,tahan 2 3,0.010948
Trust,10,provinsi kaya jakarta,0.01092
Trust,11,jakarta tahun 2025,0.010795
Trust,12,faat stay hard,0.010401
Trust,13,menurunkan berat badan,0.010156
Trust,14,tiang pull up,0.009614
Trust,15,coba komen bawah,0.009454
Trust,16,that s it,0.009022
Trust,17,8 12 kali,0.008957
Trust,18,share satu studi,0.008955
Trust,19,satu per satu,0.00866
Trust,20,selama 3 hari,0.008497
Trust,21,oke terima kasih,0.008429
Trust,22,mantap terima kasih,0.008395
Trust,23,revaluasi mindset rasa,0.008275
Trust,24,adalah mindset apabila,0.008275
Trust,25,benar teruskan dr,0.008275
Trust,26,benar kejutan kejutan,0.008275
Trust,27,waktu menyerahkan adalah,0.008275
Trust,28,rasa membantu revaluasi,0.008275
Trust,29,rasa berbagi jika,0.008275
Trust,30,adalah membuat waktu,0.008275
