emotion,rank,phrase,mean_tfidf
Anger,1,serangan jantung,0.039643
Anger,2,kira kira,0.037497
Anger,3,bagus bagus,0.035714
Anger,4,salah satu,0.030701
Anger,5,usah banyak,0.030277
Anger,6,satu satunya,0.028307
Anger,7,teman teman,0.028116
Anger,8,speed 1,0.026357
Anger,9,satu paling,0.026169
Anger,10,hati hati,0.02535
Anger,11,real madrid,0.025155
Anger,12,kaya kaya,0.02506
Anger,13,nah menarik,0.024359
Anger,14,satu sisi,0.021684
Anger,15,game changer,0.021643
Anger,16,hari masalah,0.021285
Anger,17,masalah hari,0.021285
Anger,18,latihan beban,0.02124
Anger,19,harga rp,0.021234
Anger,20,nah gimana,0.021062
Anger,21,kena serangan,0.02105
Anger,22,misalkan gini,0.020693
Anger,23,tahan terhadap,0.020527
Anger,24,luar biasa,0.01975
Anger,25,makanan sehat,0.019698
Anger,26,ekonomi indonesia,0.019321
Anger,27,rata rata,0.018273
Anger,28,bukan hanya,0.017969
Anger,29,betul betul,0.017898
Anger,30,beliau adalah,0.017428
Fear,1,saham naik,0.085978
Fear,2,naik turun,0.060101
Fear,3,saham turun,0.059819
Fear,4,semua hidup,0.058976
Fear,5,hati hati,0.056749
Fear,6,pendaraan otak,0.054423
Fear,7,serangan jantung,0.049083
Fear,8,memang akhirnya,0.048227
Fear,9,lalu turun,0.047648
Fear,10,adalah hasil,0.046029
Fear,11,olah raga,0.045701
Fear,12,jalan jalan,0.043303
Fear,13,saham saham,0.042903
Fear,14,besar banyak,0.04143
Fear,15,pemburu darah,0.04143
Fear,16,sampai sampai,0.040587
Fear,17,paling bawah,0.03764
Fear,18,paling rendah,0.036362
Fear,19,hari cari,0.034302
Fear,20,keluar biar,0.034302
Fear,21,indonesia perlu,0.031525
Fear,22,malam hari,0.028971
Fear,23,jalan coba,0.026755
Fear,24,jalan gias,0.026755
Fear,25,cewek cewek,0.026755
Fear,26,sel kulit,0.026098
Fear,27,apalagi sering,0.026098
Fear,28,kulit gampang,0.026098
Fear,29,keluar satu,0.025233
Fear,30,eh ternyata,0.024909
Joy,1,terima kasih,0.052141
Joy,2,teman teman,0.02841
Joy,3,glory glory,0.025385
Joy,4,luar biasa,0.025184
Joy,5,19 tahun,0.024012
Joy,6,dki jakarta,0.022887
Joy,7,enak kalian,0.022727
Joy,8,pemain pemain,0.022727
Joy,9,para pecinta,0.022727
Joy,10,tim nasional,0.021865
Joy,11,mas mas,0.017844
Joy,12,jakarta menang,0.01756
Joy,13,off road,0.01702
Joy,14,agak sedikit,0.016833
Joy,15,dipon 21,0.016533
Joy,16,ivan gunawan,0.01652
Joy,17,menyerang lawan,0.016441
Joy,18,kerana menonton,0.016088
Joy,19,kasih kerana,0.016088
Joy,20,kalah kalah,0.016071
Joy,21,lihat kasih,0.016071
Joy,22,datang jakarta,0.015949
Joy,23,back to,0.015692
Joy,24,gias 2025,0.015423
Joy,25,warga jakarta,0.015332
Joy,26,segala macam,0.01527
Joy,27,jakarta indonesia,0.015215
Joy,28,oke oke,0.015062
Joy,29,4 perunggu,0.015004
Joy,30,nama baik,0.014695
Love,1,thank you,0.573641
Love,2,long run,0.379426
Love,3,john glory,0.379426
Love,4,3 kilo,0.379426
Love,5,sekitar 3,0.362131
Love,6,glory glory,0.32849
Loyalty,1,tahun pertama,0.38542
Loyalty,2,pre order,0.19271
Loyalty,3,to search,0.19271
