emotion,phrase,other_mean,distinctiveness
Anger,masalah hari masalah,0.0,0.071429
Anger,salah satu paling,0.001001,0.066085
Anger,kena serangan jantung,0.0,0.045571
Anger,latihan beban menjadi,0.0,0.035714
Anger,memang luar biasa,0.0,0.035714
Anger,semua masyarakat indonesia,0.0,0.035714
Anger,sampai berapa kali,0.0,0.035714
Anger,nah menurut kalian,0.002525222222222222,0.03318877777777778
Anger,malam hari cari,0.007407444444444445,0.028306555555555557
Anger,kaya kaya kaya,0.0006879999999999999,0.028009
Anger,gini gini gini,0.0,0.027001
Anger,terlalu lebar gini,0.0,0.025836
Anger,harganya murah meriah,0.0,0.025254
Anger,segi harga punya,0.0,0.025254
Anger,sedikit tips kalian,0.0,0.024658
Anger,speed 1 2,0.0,0.024022
Anger,oke terima kasih,0.0009365555555555556,0.022439444444444446
Anger,sebagai salah satu,0.0,0.018269
Anger,1 2 3,0.0015493333333333333,0.01788966666666667
Anger,salah satu faktor,0.0,0.017436
Anger,tekanan darah tinggi,0.0,0.017436
Anger,tau salah satu,0.0,0.017067
Anger,terima kasih pak,0.0,0.016014
Anger,anak anak mungkin,0.0,0.015034
Anger,salah satu bentuk,0.0,0.015034
Anger,satu studi terbaru,0.0,0.013651
Anger,semua penyakit metabolik,0.0,0.013651
Anger,s go pertama,0.0,0.013073
Anger,semangat stay hard,0.0,0.013073
Anger,sampai kira kira,0.0,0.013073
Anger,punya bekas jerawat,0.0006227777777777778,-0.0006227777777777778
Anger,harga 3 jutaan,0.0006298888888888889,-0.0006298888888888889
Anger,salah satunya adalah,0.0006374444444444444,-0.0006374444444444444
Anger,buang air besar,0.0006846666666666666,-0.0006846666666666666
Anger,carbon fiber carbon,0.0006846666666666666,-0.0006846666666666666
Anger,s go langsung,0.0006924444444444444,-0.0006924444444444444
Anger,8gb storage 256gb,0.0006961111111111111,-0.0006961111111111111
Anger,suv leather frame,0.0007034444444444445,-0.0007034444444444445
Anger,sub indo by,0.0007063333333333333,-0.0007063333333333333
Anger,indo by broth3rmax,0.0007063333333333333,-0.0007063333333333333
Anger,nah kira kira,0.0007095555555555556,-0.0007095555555555556
Anger,adaptive cruise control,0.0007277777777777778,-0.0007277777777777778
Anger,bulu mata bawahnya,0.0007292222222222223,-0.0007292222222222223
Anger,paling tipis dunia,0.0007408888888888889,-0.0007408888888888889
