emotion,phrase,other_mean,distinctiveness
Anger,kira kira,0.0015862222222222,0.0359107777777777
Anger,bagus bagus,0.0,0.035714
Anger,serangan jantung,0.0054536666666666,0.0341893333333333
Anger,usah banyak,0.0,0.030277
Anger,satu satunya,0.0,0.028307
Anger,salah satu,0.0038995555555555,0.0268014444444444
Anger,speed 1,0.0,0.026357
Anger,satu paling,0.0,0.026169
Anger,real madrid,0.0,0.025155
Anger,kaya kaya,0.0,0.02506
Anger,nah menarik,0.0,0.024359
Anger,satu sisi,0.0,0.021684
Anger,game changer,0.0,0.021643
Anger,masalah hari,0.0,0.021285
Anger,hari masalah,0.0,0.021285
Anger,harga rp,0.0,0.021234
Anger,nah gimana,0.0,0.021062
Anger,kena serangan,0.0,0.02105
Anger,misalkan gini,0.0,0.020693
Anger,tahan terhadap,0.0,0.020527
Anger,makanan sehat,0.0,0.019698
Anger,ekonomi indonesia,0.0,0.019321
Anger,teman teman,0.0090163333333333,0.0190996666666666
Anger,hati hati,0.0063054444444444,0.0190445555555555
Anger,rata rata,0.0,0.018273
Anger,betul betul,0.0,0.017898
Anger,beliau adalah,0.0,0.017428
Anger,latihan beban,0.003974,0.0172659999999999
Anger,luar biasa,0.0051501111111111,0.0145998888888888
Anger,bukan hanya,0.0040432222222222,0.0139257777777777
Fear,saham naik,0.0,0.085978
Fear,naik turun,0.0,0.060101
Fear,saham turun,0.0,0.059819
Fear,semua hidup,0.0,0.058976
Fear,pendaraan otak,0.0,0.054423
Fear,hati hati,0.0046090909090909,0.052139909090909
Fear,memang akhirnya,0.0,0.048227
Fear,lalu turun,0.0,0.047648
Fear,adalah hasil,0.0,0.046029
Fear,olah raga,0.0,0.045701
Fear,saham saham,0.0,0.042903
Fear,jalan jalan,0.0007363636363636,0.0425666363636363
Fear,serangan jantung,0.0072078181818181,0.0418751818181818
Fear,pemburu darah,0.0,0.04143
Fear,besar banyak,0.0,0.04143
Fear,sampai sampai,0.0,0.040587
Fear,paling bawah,0.0,0.03764
Fear,paling rendah,0.0,0.036362
Fear,keluar biar,0.0,0.034302
Fear,hari cari,0.0,0.034302
Fear,indonesia perlu,0.0,0.031525
Fear,malam hari,0.0,0.028971
Fear,cewek cewek,0.0,0.026755
Fear,jalan gias,0.0,0.026755
Fear,jalan coba,0.0,0.026755
Fear,kulit gampang,0.0,0.026098
Fear,apalagi sering,0.0,0.026098
Fear,sel kulit,0.0,0.026098
Fear,keluar satu,0.0,0.025233
Fear,eh ternyata,0.0,0.024909
Joy,terima kasih,0.0086786363636363,0.0434623636363636
Joy,19 tahun,0.0,0.024012
Joy,para pecinta,0.0,0.022727
Joy,enak kalian,0.0,0.022727
Joy,pemain pemain,0.0,0.022727
Joy,tim nasional,0.0,0.021865
Joy,luar biasa,0.0037197272727272,0.0214642727272727
Joy,dki jakarta,0.001565,0.021322
Joy,teman teman,0.0073502727272727,0.0210597272727272
Joy,mas mas,0.0,0.017844
Joy,jakarta menang,0.0,0.01756
