emotion,phrase,other_mean,distinctiveness
Anger,masalah hari masalah,0.0,0.071429
Anger,salah satu paling,0.001001,0.066085
Anger,kena serangan jantung,0.0,0.045571
Anger,latihan beban menjadi,0.0,0.035714
Anger,memang luar biasa,0.0,0.035714
Anger,semua masyarakat indonesia,0.0,0.035714
Anger,sampai berapa kali,0.0,0.035714
Anger,nah menurut kalian,0.0025252222222222,0.0331887777777777
Anger,malam hari cari,0.0074074444444444,0.0283065555555555
Anger,kaya kaya kaya,0.0006879999999999,0.028009
Anger,gini gini gini,0.0,0.027001
Anger,terlalu lebar gini,0.0,0.025836
Anger,harganya murah meriah,0.0,0.025254
Anger,segi harga punya,0.0,0.025254
Anger,sedikit tips kalian,0.0,0.024658
Anger,speed 1 2,0.0,0.024022
Anger,oke terima kasih,0.0009365555555555,0.0224394444444444
Anger,sebagai salah satu,0.0,0.018269
Anger,salah satu faktor,0.0,0.017436
Anger,tekanan darah tinggi,0.0,0.017436
Anger,tau salah satu,0.0,0.017067
Anger,terima kasih pak,0.0,0.016014
Anger,anak anak mungkin,0.0,0.015034
Anger,salah satu bentuk,0.0,0.015034
Anger,satu studi terbaru,0.0,0.013651
Anger,semua penyakit metabolik,0.0,0.013651
Anger,s go pertama,0.0,0.013073
Anger,semangat stay hard,0.0,0.013073
Anger,sampai kira kira,0.0,0.013073
Fear,saham naik turun,0.0,0.133333
Fear,sel kulit mati,0.0,0.066667
Fear,jalan jalan gias,0.0,0.066667
Fear,malam hari cari,0.0064934545454545,0.0601735454545454
Fear,pagi sore hari,0.0,0.04714
Fear,satu sisi tubuh,0.0,0.04714
Fear,salah satu sisi,0.0,0.04714
Fear,share kolom komentar,0.0,0.04714
Fear,memiliki mindset benar,0.007124909090909,0.0132080909090909
Fear,sejati aktivitas besar,0.0,0.010167
Fear,rasa lakukan adalah,0.0,0.010167
Fear,mengawasi allah terima,0.0,0.010167
Fear,nia bilang sejati,0.0,0.010167
Fear,mindset rasa berbagi,0.0,0.010167
Fear,menyerahkan adalah mindset,0.0,0.010167
Fear,lakukan adalah membuat,0.0,0.010167
Fear,sebenarnya barokah aktivitas,0.0,0.010167
Fear,kejutan kejutan kejutan,0.0,0.010167
Fear,kejutan kejutan aktivitas,0.0,0.010167
Fear,waktu menyerahkan adalah,0.0007522727272727,0.0094147272727272
