,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,5.0
Fear,0.0,0.0,0.0,3.0
Joy,0.0,0.0,0.0,14.0
Neutral,0.0,0.0,0.0,1.0
Proud,0.3181818181818182,0.30434782608695654,0.3111111111111111,23.0
Sad,0.0,0.0,0.0,4.0
Surprise,0.4342105263157895,0.717391304347826,0.5409836065573771,46.0
Trust,0.2857142857142857,0.23076923076923078,0.2553191489361702,26.0
accuracy,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3770491803278688
macro avg,0.12976332877648666,0.15656354515050167,0.1384267333255823,122.0
weighted avg,0.2845937496498325,0.3770491803278688,0.3170417977830765,122.0
