,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,5.0
Fear,0.5,0.3333333333333333,0.4,3.0
Joy,0.0,0.0,0.0,14.0
Neutral,0.0,0.0,0.0,1.0
Proud,0.2857142857142857,0.34782608695652173,0.3137254901960784,23.0
Sad,0.0,0.0,0.0,4.0
Surprise,0.4375,0.6086956521739131,0.509090909090909,46.0
Trust,0.3181818181818182,0.2692307692307692,0.2916666666666667,26.0
accuracy,0.36065573770491804,0.36065573770491804,0.36065573770491804,0.36065573770491804
macro avg,0.192674512987013,0.19488573021181715,0.1893103832442068,122.0
weighted avg,0.2989275069193102,0.36065573770491804,0.3230918149674177,122.0
