,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,5.0
Fear,0.0,0.0,0.0,3.0
Joy,0.0,0.0,0.0,14.0
Neutral,0.0,0.0,0.0,1.0
Proud,0.3333333333333333,0.2608695652173913,0.2926829268292683,23.0
Sad,0.0,0.0,0.0,4.0
Surprise,0.425,0.7391304347826086,0.5396825396825397,46.0
Trust,0.2857142857142857,0.23076923076923078,0.2553191489361702,26.0
accuracy,0.3770491803278688,0.3770491803278688,0.3770491803278688,0.3770491803278688
macro avg,0.13050595238095236,0.15384615384615385,0.13596057693099728,122.0
weighted avg,0.2839773614363778,0.3770491803278688,0.31307706569516736,122.0
