,precision,recall,f1-score,support
Anger,0.25,0.2,0.2222222222222222,5.0
Fear,0.5,0.3333333333333333,0.4,3.0
Joy,0.125,0.07142857142857142,0.09090909090909091,14.0
Neutral,0.0,0.0,0.0,1.0
Proud,0.2608695652173913,0.2608695652173913,0.2608695652173913,23.0
Sad,0.0,0.0,0.0,4.0
Surprise,0.4262295081967213,0.5652173913043478,0.48598130841121495,46.0
Trust,0.30434782608695654,0.2692307692307692,0.2857142857142857,26.0
accuracy,0.3442622950819672,0.3442622950819672,0.3442622950819672,0.3442622950819672
macro avg,0.23330586243763365,0.21250995381430166,0.21821205905927565,122.0
weighted avg,0.3116360725845086,0.3442622950819672,0.3226848360600468,122.0
