emotion,rank,word,mean_tfidf
Anger,1,itu,0.075038
Anger,2,yang,0.072932
Anger,3,orang,0.072681
Anger,4,di,0.051794
Anger,5,kita,0.049072
Anger,6,ini,0.04639
Anger,7,ada,0.045041
Anger,8,gak,0.041413
Anger,9,saya,0.038437
Anger,10,tidak,0.035626
Anger,11,ya,0.035175
Anger,12,jadi,0.033612
Anger,13,tuh,0.033057
Anger,14,dan,0.032848
Anger,15,bisa,0.032834
Anger,16,kalau,0.0323
Anger,17,bukan,0.031041
Anger,18,udah,0.029725
Anger,19,tapi,0.029396
Anger,20,kan,0.02772
Anger,21,mereka,0.027356
Anger,22,dari,0.026493
Anger,23,jawa,0.026271
Anger,24,jantung,0.026084
Anger,25,gitu,0.026072
Anger,26,donut,0.025917
Anger,27,karena,0.025288
Anger,28,ga,0.025125
Anger,29,masalah,0.024315
Anger,30,dia,0.024063
Fear,1,saham,0.08644
Fear,2,yang,0.056574
Fear,3,kita,0.0532
Fear,4,saya,0.051101
Fear,5,itu,0.049653
Fear,6,pusar,0.048741
Fear,7,lu,0.04874
Fear,8,otak,0.047361
Fear,9,turun,0.046047
Fear,10,ya,0.045019
Fear,11,triangle,0.042482
Fear,12,ini,0.038799
Fear,13,kalau,0.037611
Fear,14,jalan,0.037468
Fear,15,dan,0.036788
Fear,16,safat,0.035601
Fear,17,terangkono,0.035076
Fear,18,di,0.033981
Fear,19,kan,0.033301
Fear,20,cewek,0.033253
Fear,21,hati,0.032445
Fear,22,kb,0.032261
Fear,23,kamu,0.031917
Fear,24,rian,0.03134
Fear,25,wanita,0.031033
Fear,26,jangan,0.030675
Fear,27,akan,0.028482
Fear,28,pasar,0.028209
Fear,29,setiap,0.027397
Fear,30,gak,0.026299
Joy,1,ini,0.058547
Joy,2,jakarta,0.053126
Joy,3,dan,0.050584
Joy,4,yang,0.048362
Joy,5,saya,0.03724
Joy,6,di,0.03576
Joy,7,kita,0.035128
Joy,8,bisa,0.033017
Joy,9,ada,0.030969
Joy,10,mobil,0.029453
Joy,11,untuk,0.028727
Joy,12,itu,0.027362
Joy,13,bicara,0.026675
Joy,14,lagi,0.025385
Joy,15,banget,0.024708
Joy,16,aku,0.024688
Joy,17,teman,0.023899
Joy,18,dengan,0.023898
Joy,19,kalian,0.023543
Joy,20,juga,0.023173
Joy,21,sekali,0.023013
Joy,22,menang,0.022527
Joy,23,glory,0.022108
Joy,24,ke,0.021882
Joy,25,ya,0.021285
Joy,26,dari,0.019794
Joy,27,indonesia,0.019564
Joy,28,nih,0.019195
Joy,29,dia,0.019037
Joy,30,oxford,0.017933
Love,1,ujan,0.329358
Love,2,glory,0.298761
Love,3,thank,0.260863
Love,4,kilo,0.253562
Love,5,dikasih,0.224953
Love,6,mantap,0.224953
Love,7,terakhir,0.204847
Love,8,yosua,0.183628
Love,9,doppin,0.183628
Love,10,wooo,0.183628
Love,11,النine,0.183628
Love,12,finess,0.183628
Love,13,eroh,0.183628
Love,14,dzięki,0.183628
Love,15,nemenin,0.172543
Love,16,you,0.169828
Love,17,run,0.14573
Love,18,k,0.13963
Love,19,long,0.13963
Love,20,lari,0.137024
Love,21,18,0.132457
Love,22,john,0.128545
Love,23,pergi,0.126781
Love,24,minggu,0.113508
Love,25,selesai,0.107832
Love,26,sekitar,0.103863
Love,27,agak,0.093527
Love,28,tahu,0.093026
Love,29,tadi,0.084914
Love,30,mungkin,0.081776
Loyalty,1,bisa,0.197284
Loyalty,2,7,0.178378
Loyalty,3,detail,0.175353
Loyalty,4,ai,0.172671
Loyalty,5,kursakan,0.162064
Loyalty,6,drop,0.162064
Loyalty,7,game,0.161619
Loyalty,8,wa,0.152281
Loyalty,9,fold,0.152281
Loyalty,10,layar,0.148902
Loyalty,11,eraser,0.14534
Loyalty,12,tahun,0.141523
Loyalty,13,drag,0.139956
Loyalty,14,nih,0.13826
Loyalty,15,dimensi,0.125774
Loyalty,16,performa,0.118833
Loyalty,17,update,0.118833
Loyalty,18,misalnya,0.118816
Loyalty,19,lalu,0.117667
Loyalty,20,android,0.116902
Loyalty,21,cover,0.116902
Loyalty,22,pakai,0.115789
Loyalty,23,info,0.115114
Loyalty,24,yang,0.107599
Loyalty,25,kamera,0.099268
Loyalty,26,lebih,0.092311
Loyalty,27,langsung,0.091468
Loyalty,28,juga,0.089306
Loyalty,29,pertama,0.088068
Loyalty,30,menarik,0.086413
Neutral,1,lo,0.106152
Neutral,2,yang,0.091909
Neutral,3,dan,0.084295
Neutral,4,mual,0.08249
Neutral,5,gue,0.076784
Neutral,6,setiap,0.074272
Neutral,7,kamu,0.072443
Neutral,8,saya,0.068447
Neutral,9,liposom,0.068147
Neutral,10,mums,0.067315
Neutral,11,speedy,0.064654
Neutral,12,mindset,0.063477
Neutral,13,beban,0.056575
Neutral,14,bener,0.055944
Neutral,15,hamil,0.055598
Neutral,16,n,0.05408
Neutral,17,banget,0.050851
Neutral,18,kejutan,0.047038
Neutral,19,laser,0.045431
Neutral,20,aktivitas,0.044577
Neutral,21,ada,0.043309
Neutral,22,kehamilan,0.042831
Neutral,23,retinal,0.042689
Neutral,24,menyerupai,0.042689
Neutral,25,s,0.042046
Neutral,26,gak,0.041895
Neutral,27,space,0.041876
Neutral,28,filter,0.041109
Neutral,29,pake,0.041006
Neutral,30,jika,0.040528
Proud,1,yang,0.073807
Proud,2,ini,0.066455
Proud,3,aku,0.064568
Proud,4,dan,0.057975
Proud,5,di,0.046267
Proud,6,banget,0.036941
Proud,7,saya,0.035119
Proud,8,kita,0.032838
Proud,9,juga,0.032791
Proud,10,ada,0.032298
Proud,11,kalian,0.032141
Proud,12,itu,0.031256
Proud,13,ya,0.030787
Proud,14,bisa,0.02831
Proud,15,jadi,0.02819
Proud,16,dia,0.026979
Proud,17,untuk,0.026808
Proud,18,udah,0.026488
Proud,19,kayak,0.025683
Proud,20,gue,0.025014
Proud,21,lebih,0.024866
Proud,22,tuh,0.024637
Proud,23,pakai,0.024471
Proud,24,dengan,0.024283
Proud,25,buat,0.023619
Proud,26,dari,0.022907
Proud,27,karena,0.022033
Proud,28,kalau,0.021583
Proud,29,pake,0.021321
Proud,30,lagi,0.0208
Sad,1,gue,0.103822
Sad,2,ini,0.072764
Sad,3,aku,0.068067
Sad,4,yang,0.06422
Sad,5,anak,0.056213
Sad,6,dan,0.048006
Sad,7,banget,0.0452
Sad,8,rambut,0.043589
Sad,9,ya,0.040785
Sad,10,minuman,0.040593
Sad,11,ada,0.039895
Sad,12,kita,0.039023
Sad,13,asbak,0.037732
Sad,14,karena,0.036836
Sad,15,gak,0.03579
Sad,16,di,0.034773
Sad,17,hah,0.034241
Sad,18,juga,0.033265
Sad,19,dia,0.032446
Sad,20,udah,0.031105
Sad,21,nutrisi,0.030911
Sad,22,bawa,0.03087
Sad,23,jadi,0.030491
Sad,24,warda,0.028859
Sad,25,bisa,0.028289
Sad,26,untuk,0.027997
Sad,27,sini,0.027644
Sad,28,patuk,0.026924
Sad,29,buat,0.02668
Sad,30,pakai,0.026512
Surprise,1,ini,0.072442
Surprise,2,yang,0.064624
Surprise,3,dan,0.050799
Surprise,4,di,0.049172
Surprise,5,aku,0.045905
Surprise,6,ya,0.039442
Surprise,7,ada,0.037909
