emotion,rank,word,mean_tfidf
Anger,1,bukan,0.033384
Anger,2,jawa,0.0291
Anger,3,masalah,0.0275
Anger,4,jantung,0.027186
Anger,5,donut,0.026444
Anger,6,kemampuan,0.024816
Anger,7,satu,0.024022
Anger,8,indonesia,0.023579
Anger,9,kau,0.023518
Anger,10,bagus,0.023013
Anger,11,kalian,0.022967
Anger,12,nah,0.022765
Anger,13,teori,0.022012
Anger,14,speed,0.021625
Anger,15,kira,0.021362
Anger,16,teman,0.020941
Anger,17,minggir,0.020544
Anger,18,politik,0.019346
Anger,19,banyak,0.018992
Anger,20,lihat,0.018818
Anger,21,gampang,0.018129
Anger,22,berapa,0.018044
Anger,23,kaya,0.0177
Anger,24,lawan,0.017519
Anger,25,semua,0.017485
Anger,26,gini,0.017402
Anger,27,dikasih,0.016809
Anger,28,stress,0.016681
Anger,29,betul,0.01639
Anger,30,punya,0.016156
Fear,1,saham,0.09336
Fear,2,pusar,0.051261
Fear,3,turun,0.049418
Fear,4,otak,0.048169
Fear,5,triangle,0.043192
Fear,6,jalan,0.03849
Fear,7,safat,0.037895
Fear,8,terangkono,0.036848
Fear,9,cewek,0.034653
Fear,10,hati,0.034261
Fear,11,mindset,0.033967
Fear,12,kb,0.033686
Fear,13,jangan,0.032577
Fear,14,wanita,0.032404
Fear,15,rian,0.032155
Fear,16,pasar,0.03101
Fear,17,koroktor,0.027537
Fear,18,bitcoin,0.027199
Fear,19,susah,0.026895
Fear,20,nyangkut,0.026622
Fear,21,takut,0.026066
Fear,22,kejutan,0.025171
Fear,23,budiman,0.024565
Fear,24,pilih,0.024272
Fear,25,olah,0.023923
Fear,26,aktivitas,0.023854
Fear,27,naik,0.02374
Fear,28,atasnya,0.023547
Fear,29,keluar,0.023283
Fear,30,agresif,0.023157
Joy,1,jakarta,0.055028
Joy,2,mobil,0.0312
Joy,3,bicara,0.027182
Joy,4,teman,0.025616
Joy,5,kalian,0.024987
Joy,6,sekali,0.02479
Joy,7,menang,0.023105
Joy,8,glory,0.022484
Joy,9,indonesia,0.020395
Joy,10,tim,0.018371
Joy,11,oxford,0.017976
Joy,12,kasih,0.017514
Joy,13,banyak,0.016933
Joy,14,fit,0.016888
Joy,15,3,0.015687
Joy,16,azik,0.015259
Joy,17,lux,0.015215
Joy,18,hari,0.014969
Joy,19,atlet,0.014801
Joy,20,ayo,0.014532
Joy,21,naik,0.014474
Joy,22,kuyup,0.014248
Joy,23,selamat,0.014242
Joy,24,perunggu,0.014137
Joy,25,terima,0.014064
Joy,26,enak,0.013439
Joy,27,nah,0.013374
Joy,28,semua,0.013297
Joy,29,nama,0.01317
Joy,30,olaraga,0.013164
Love,1,ujan,0.33496
Love,2,glory,0.303842
Love,3,thank,0.265299
Love,4,kilo,0.257874
Love,5,mantap,0.228779
Love,6,dikasih,0.228779
Love,7,terakhir,0.208332
Love,8,wooo,0.186751
Love,9,yosua,0.186751
Love,10,finess,0.186751
Love,11,eroh,0.186751
Love,12,dzięki,0.186751
Love,13,doppin,0.186751
Love,14,النine,0.186751
Love,15,nemenin,0.175478
Love,16,you,0.172716
Love,17,run,0.148208
Love,18,long,0.142004
Love,19,k,0.142004
Love,20,lari,0.139355
Love,21,18,0.13471
Love,22,john,0.130731
Love,23,pergi,0.128937
Love,24,minggu,0.115439
Love,25,selesai,0.109666
Love,26,sekitar,0.105629
Love,27,agak,0.095118
Love,28,tahu,0.094608
Love,29,mungkin,0.083167
Love,30,oke,0.075085
Loyalty,1,7,0.196894
Loyalty,2,detail,0.193555
Loyalty,3,ai,0.190595
Loyalty,4,kursakan,0.178886
Loyalty,5,drop,0.178886
Loyalty,6,game,0.178396
Loyalty,7,fold,0.168088
Loyalty,8,wa,0.168088
Loyalty,9,layar,0.164358
Loyalty,10,eraser,0.160427
Loyalty,11,tahun,0.156213
Loyalty,12,drag,0.154484
Loyalty,13,dimensi,0.13883
Loyalty,14,performa,0.131169
Loyalty,15,update,0.131169
Loyalty,16,misalnya,0.13115
Loyalty,17,lalu,0.129882
Loyalty,18,android,0.129037
Loyalty,19,cover,0.129037
Loyalty,20,info,0.127063
Loyalty,21,kamera,0.109572
Loyalty,22,langsung,0.100963
Loyalty,23,pertama,0.09721
Loyalty,24,menarik,0.095383
Loyalty,25,and,0.09481
Loyalty,26,maksimum,0.089443
Loyalty,27,sekuriti,0.089443
Loyalty,28,penggantian,0.089443
Loyalty,29,pengekatan,0.089443
Loyalty,30,interactif,0.089443
Neutral,1,mual,0.08576
Neutral,2,mindset,0.084919
Neutral,3,mums,0.069984
Neutral,4,liposom,0.069982
Neutral,5,speedy,0.068384
Neutral,6,bener,0.067932
Neutral,7,kejutan,0.062927
Neutral,8,beban,0.059839
Neutral,9,aktivitas,0.059635
Neutral,10,hamil,0.057802
Neutral,11,n,0.057199
Neutral,12,filter,0.054391
Neutral,13,air,0.049451
Neutral,14,shower,0.048881
Neutral,15,s,0.047074
Neutral,16,laser,0.046654
Neutral,17,jika,0.045924
Neutral,18,rasa,0.045169
Neutral,19,airnya,0.044925
Neutral,20,kehamilan,0.044529
Neutral,21,space,0.044292
Neutral,22,retinal,0.043838
Neutral,23,menyerupai,0.043838
Neutral,24,you,0.043335
Neutral,25,memiliki,0.04212
Neutral,26,headnya,0.039016
Neutral,27,workout,0.038999
Neutral,28,like,0.038405
Neutral,29,sebenarnya,0.037973
Neutral,30,i,0.037286
Proud,1,kalian,0.035572
Proud,2,warna,0.023293
Proud,3,adalah,0.019606
Proud,4,suka,0.019518
Proud,5,mindset,0.018361
Proud,6,kulit,0.016729
Proud,7,teman,0.01637
Proud,8,jakarta,0.016158
Proud,9,sampai,0.015574
Proud,10,bagian,0.015346
Proud,11,bener,0.015199
Proud,12,lihat,0.015195
Proud,13,kasih,0.01491
Proud,14,kaki,0.01435
Proud,15,aktivitas,0.014052
Proud,16,banyak,0.013964
Proud,17,rasa,0.013956
Proud,18,gini,0.013943
Proud,19,kejutan,0.013606
Proud,20,benar,0.01359
Proud,21,punya,0.013338
Proud,22,jalan,0.013278
Proud,23,warnanya,0.013097
Proud,24,gua,0.012985
Proud,25,terima,0.012932
Proud,26,hari,0.01293
Proud,27,sunscreen,0.012834
Proud,28,nah,0.012768
Proud,29,atlet,0.012281
Proud,30,otot,0.012251
Sad,1,anak,0.057562
Sad,2,rambut,0.048321
Sad,3,minuman,0.041576
Sad,4,asbak,0.039376
Sad,5,hah,0.036442
Sad,6,bawa,0.03293
Sad,7,nutrisi,0.031552
Sad,8,warda,0.031498
Sad,9,sini,0.029935
Sad,10,bersiap,0.027899
Sad,11,patuk,0.027685
Sad,12,suka,0.027581
Sad,13,gajah,0.026154
Sad,14,shade,0.026115
Sad,15,ikan,0.025155
Sad,16,kulit,0.024963
Sad,17,gula,0.024872
Sad,18,perut,0.024723
Sad,19,aliran,0.024575
Sad,20,tulkit,0.023764
Sad,21,cakup,0.022924
Sad,22,mangsa,0.022096
Sad,23,asupan,0.022046
Sad,24,muka,0.021953
Sad,25,kemaren,0.021772
Sad,26,mam,0.021759
Sad,27,beli,0.02152
Sad,28,kalian,0.020943
Sad,29,anduk,0.020764
Sad,30,paddle,0.020764
Surprise,1,mobil,0.025181
Surprise,2,adalah,0.021818
Surprise,3,oh,0.020127
Surprise,4,kulit,0.016862
Surprise,5,kalian,0.016426
Surprise,6,nah,0.013987
Surprise,7,2,0.013939
Surprise,8,punya,0.013822
Surprise,9,banyak,0.013679
Surprise,10,satu,0.01357
Surprise,11,gini,0.013489
Surprise,12,sampai,0.013239
Surprise,13,kasih,0.013026
Surprise,14,sini,0.012928
Surprise,15,cuma,0.012896
Surprise,16,coba,0.012781
Surprise,17,ikan,0.012642
Surprise,18,suka,0.012634
Surprise,19,1,0.012362
Surprise,20,baru,0.012227
Surprise,21,langsung,0.012205
Surprise,22,3,0.012102
Surprise,23,bukan,0.011869
Surprise,24,oke,0.01181
Surprise,25,warna,0.011412
Surprise,26,gua,0.011028
Surprise,27,bener,0.011001
Surprise,28,i,0.010725
Surprise,29,up,0.010426
Surprise,30,enak,0.00999
Trust,1,kalian,0.042771
Trust,2,mindset,0.027948
Trust,3,kulit,0.021774
Trust,4,aktivitas,0.021688
Trust,5,kejutan,0.020488
Trust,6,rasa,0.020167
Trust,7,benar,0.019705
Trust,8,adalah,0.018861
Trust,9,skin,0.017269
Trust,10,gini,0.017259
Trust,11,3,0.017123
Trust,12,satu,0.016336
Trust,13,banyak,0.015684
Trust,14,kali,0.015529
Trust,15,kasih,0.015392
Trust,16,teman,0.015004
Trust,17,allah,0.01482
Trust,18,olahraga,0.014548
Trust,19,up,0.014238
Trust,20,sebenarnya,0.014041
Trust,21,nah,0.014036
Trust,22,jakarta,0.013783
Trust,23,2,0.013773
Trust,24,waktu,0.013753
Trust,25,oke,0.013693
Trust,26,hari,0.013647
Trust,27,langsung,0.013349
Trust,28,terima,0.013227
Trust,29,indonesia,0.012709
Trust,30,mobil,0.012533
