emotion,rank,phrase,mean_tfidf
Anger,1,masalah hari masalah,0.071429
Anger,2,salah satu paling,0.067086
Anger,3,kena serangan jantung,0.045571
Anger,4,memang luar biasa,0.035714
Anger,5,malam hari cari,0.035714
Anger,6,sampai berapa kali,0.035714
Anger,7,semua masyarakat indonesia,0.035714
Anger,8,nah menurut kalian,0.035714
Anger,9,latihan beban menjadi,0.035714
Anger,10,kaya kaya kaya,0.028697
Anger,11,gini gini gini,0.027001
Anger,12,terlalu lebar gini,0.025836
Anger,13,segi harga punya,0.025254
Anger,14,harganya murah meriah,0.025254
Anger,15,sedikit tips kalian,0.024658
Anger,16,speed 1 2,0.024022
Anger,17,oke terima kasih,0.023376
Anger,18,1 2 3,0.019439
Anger,19,sebagai salah satu,0.018269
Anger,20,tekanan darah tinggi,0.017436
Anger,21,salah satu faktor,0.017436
Anger,22,tau salah satu,0.017067
Anger,23,terima kasih pak,0.016014
Anger,24,salah satu bentuk,0.015034
Anger,25,anak anak mungkin,0.015034
Anger,26,semua penyakit metabolik,0.013651
Anger,27,satu studi terbaru,0.013651
Anger,28,sampai kira kira,0.013073
Anger,29,s go pertama,0.013073
Anger,30,semangat stay hard,0.013073
Fear,1,saham naik turun,0.133333
Fear,2,malam hari cari,0.066667
Fear,3,sel kulit mati,0.066667
Fear,4,jalan jalan gias,0.066667
Fear,5,pagi sore hari,0.04714
Fear,6,satu sisi tubuh,0.04714
Fear,7,salah satu sisi,0.04714
Fear,8,share kolom komentar,0.04714
Fear,9,memiliki mindset benar,0.020333
Fear,10,sebenarnya barokah aktivitas,0.010167
Fear,11,nia bilang sejati,0.010167
Fear,12,teruskan dr nia,0.010167
Fear,13,mindset benar teruskan,0.010167
Fear,14,mindset benar kejutan,0.010167
Fear,15,mindset apabila memiliki,0.010167
Fear,16,membantu revaluasi mindset,0.010167
Fear,17,mengawasi allah terima,0.010167
Fear,18,membuat waktu menyerahkan,0.010167
Fear,19,mencari kecil sebenarnya,0.010167
Fear,20,menyerahkan adalah mindset,0.010167
Fear,21,waktu menyerahkan adalah,0.010167
Fear,22,rasa membantu revaluasi,0.010167
Fear,23,rasa lakukan adalah,0.010167
Fear,24,sejati aktivitas besar,0.010167
Fear,25,revaluasi mindset rasa,0.010167
Fear,26,rasa berbagi jika,0.010167
Fear,27,mindset rasa berbagi,0.010167
Fear,28,lakukan adalah membuat,0.010167
Fear,29,kejutan kejutan kejutan,0.010167
Fear,30,kejutan kejutan aktivitas,0.010167
Joy,1,menghasilkan atlet atlet,0.029314
Joy,2,datang jakarta menang,0.027208
Joy,3,membawa nama baik,0.026269
Joy,4,jakarta datang jakarta,0.024622
Joy,5,terima kasih kerana,0.024147
Joy,6,kasih kerana menonton,0.024147
Joy,7,melihat teman teman,0.022727
Joy,8,depan salah satu,0.022727
Joy,9,jangan sampai kelewatan,0.022727
Joy,10,2025 terima kasih,0.022727
