id,emotion,punya_caption,sebab,url
78,Proud,tidak,IG: HTTP 400 (post mati/dibatasi),https://www.instagram.com/reel/DC_j_grTwnj/
106,Proud,tidak,IG: HTTP 400 (post mati/dibatasi),https://www.instagram.com/reel/Cv1eEmSs7DX/
295,Anger,tidak,Drive: file dihapus,https://drive.google.com/file/d/1m6QMiRFLNN-ar8SirWcd7F7biMVQkQcQ/view?usp=drive_link
296,Anger,tidak,Drive: file dihapus,https://drive.google.com/file/d/1z_ht8tUGHqrXLijQntzDHDGvnVxYvp67/view?usp=drive_link
297,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/17PEh13iqDufZbFYrX99th4oGWUyMBOrO/view?usp=drive_link
298,Anger,tidak,Drive: file dihapus,https://drive.google.com/file/d/1QKbQgPG6bA1WDwuGpEvAnMmw1_qbtkFk/view?usp=drive_link
299,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1UE04wkbPDVwJAE8yDJ0CXAOInVEzH7Fx/view?usp=drive_link
300,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/13y34c8Vn-tnRdw2NMRPzW1f_QUljfX-A/view?usp=drive_link
301,Anger,tidak,Drive: file dihapus,https://drive.google.com/file/d/1J1ptOdz_I3WUnaF87jU2PNQszcn5C9DM/view?usp=drive_link
302,Trust,tidak,Drive: file dihapus,https://drive.google.com/file/d/1V42ONkSg7UkrdxWF67Xj3719CPVN8Yp-/view?usp=drive_link
303,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1eeHcjzmCadvIdIQp7Zs0NTUaDBQc2TD-/view?usp=drive_link
304,Proud,tidak,Drive: file dihapus,https://drive.google.com/file/d/1BerFy1B8lI20y4_fQ8EIRezwaIBzftfs/view?usp=drive_link
305,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1o8hCq7EPrIX-cFFz4INcAZYIKPj9zVEm/view?usp=drive_link
306,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1TBxEKfVbZHXKByNuG8cEKpGNkCz_nQTf/view?usp=drive_link
307,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1L8Gz_VS5F-F30IfDnOzS-5N_1C4yKBHt/view?usp=sharing
308,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1Aomlf0yj4AGdb8U5cMR5yxHqAMzRfrHE/view?usp=sharing
309,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1nc1WP7TU_aiyYyrknGGLx1WsSB1xPHu9/view?usp=sharing
310,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1_bgAkwYdX91eMUGm6OyaWLJa9QOTketj/view?usp=sharing
311,Trust,tidak,Drive: file dihapus,https://drive.google.com/file/d/1ArjlJjHMZ88_6Js-3l7OzvP9bdj0vkQb/view?usp=sharing
312,Proud,tidak,Drive: file dihapus,https://drive.google.com/file/d/1L2j2rvvi7Ouya7LPsDSjvZxktkcxWVDu/view?usp=sharing
313,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/1P6PgAAZKmoYiKR8ekl0_2K2N8NdCbFXy/view?usp=sharing
314,Surprise,tidak,Drive: file dihapus,https://drive.google.com/file/d/15G61xFAnsKP6pSqf_OlTmcMSjKoXjL2t/view?usp=sharing
