tahap,accuracy,macro_f1,weighted_f1
1. baseline (kelas mayoritas),0.4122042341220423,0.05837742504409171,0.24063421780316757
2. + fitur metadata,0.30759651307596514,0.11920152790564875,0.3038506915236053
3. + fitur teks (hitungan),0.31880448318804483,0.11954335514450491,0.3058023639487651
4. + TF-IDF caption/komentar,0.33748443337484435,0.11810737244732475,0.3078680753705431
5. + uploader (target enc.),0.3549190535491905,0.13536610714386768,0.32369274625698197
6. + fitur audio (numerik),0.35118306351183065,0.1237303167227732,0.32241815901833165
7. + transkrip ke TF-IDF,0.3723536737235367,0.1277418314798119,0.33786616561560434
"8. teks saja (TF-IDF+LogReg), bobot^0.0",0.4259028642590286,0.09239779021220475,0.3158247629256266
"8. teks saja (TF-IDF+LogReg), bobot^0.5",0.41967621419676215,0.09898007524252854,0.32538551816077577
"8. teks saja (TF-IDF+LogReg), bobot^1.0",0.3972602739726027,0.15464781872061756,0.3609823073390407
