id,y,oof
1,Surprise,Surprise
2,Surprise,Surprise
3,Surprise,Surprise
4,Surprise,Surprise
5,Proud,Joy
6,Surprise,Surprise
7,Proud,Proud
8,Proud,Surprise
9,Trust,Surprise
10,Surprise,Surprise
11,Proud,Surprise
12,Trust,Surprise
13,Trust,Surprise
14,Trust,Proud
15,Surprise,Surprise
16,Surprise,Surprise
17,Surprise,Surprise
18,Sad,Surprise
19,Trust,Surprise
20,Surprise,Surprise
21,Surprise,Surprise
22,Surprise,Surprise
23,Surprise,Surprise
24,Surprise,Surprise
25,Surprise,Surprise
26,Surprise,Surprise
27,Surprise,Surprise
28,Surprise,Surprise
29,Proud,Surprise
30,Proud,Surprise
31,Surprise,Surprise
32,Surprise,Surprise
33,Surprise,Surprise
34,Joy,Surprise
35,Proud,Surprise
36,Surprise,Surprise
37,Trust,Surprise
38,Surprise,Surprise
39,Proud,Proud
40,Surprise,Surprise
41,Proud,Surprise
42,Proud,Surprise
43,Anger,Surprise
44,Surprise,Surprise
45,Joy,Surprise
46,Surprise,Surprise
47,Surprise,Surprise
48,Surprise,Surprise
49,Surprise,Surprise
50,Joy,Surprise
51,Joy,Surprise
52,Surprise,Surprise
53,Surprise,Surprise
54,Joy,Surprise
55,Surprise,Surprise
56,Joy,Surprise
57,Surprise,Surprise
58,Surprise,Surprise
59,Joy,Surprise
60,Surprise,Surprise
61,Sad,Surprise
62,Anger,Surprise
63,Surprise,Surprise
64,Joy,Surprise
65,Joy,Surprise
66,Joy,Surprise
67,Fear,Surprise
68,Surprise,Surprise
69,Surprise,Surprise
70,Joy,Surprise
71,Surprise,Surprise
72,Surprise,Surprise
73,Surprise,Surprise
74,Surprise,Surprise
75,Proud,Surprise
76,Trust,Surprise
77,Surprise,Surprise
78,Proud,Surprise
79,Neutral,Surprise
80,Proud,Trust
81,Joy,Surprise
82,Sad,Proud
83,Surprise,Surprise
84,Trust,Trust
85,Trust,Trust
86,Trust,Trust
87,Proud,Surprise
88,Surprise,Surprise
89,Trust,Surprise
90,Fear,Surprise
91,Neutral,Surprise
92,Surprise,Surprise
93,Proud,Surprise
94,Surprise,Surprise
95,Trust,Surprise
96,Proud,Surprise
97,Trust,Surprise
98,Trust,Surprise
99,Trust,Surprise
100,Proud,Surprise
101,Trust,Surprise
102,Surprise,Surprise
103,Surprise,Proud
104,Sad,Surprise
105,Proud,Surprise
106,Proud,Surprise
107,Surprise,Surprise
108,Surprise,Surprise
109,Proud,Proud
110,Trust,Proud
111,Joy,Surprise
112,Joy,Proud
113,Anger,Surprise
114,Surprise,Proud
