id,y,oof
1,Surprise,Surprise
2,Surprise,Surprise
3,Surprise,Surprise
4,Surprise,Surprise
5,Proud,Surprise
6,Surprise,Surprise
7,Proud,Surprise
8,Proud,Surprise
9,Trust,Surprise
10,Surprise,Surprise
11,Proud,Proud
12,Trust,Surprise
13,Trust,Surprise
14,Trust,Proud
15,Surprise,Surprise
16,Surprise,Surprise
17,Surprise,Surprise
18,Sad,Trust
19,Trust,Joy
20,Surprise,Surprise
21,Surprise,Surprise
22,Surprise,Surprise
23,Surprise,Trust
24,Surprise,Surprise
25,Surprise,Surprise
26,Surprise,Surprise
27,Surprise,Surprise
28,Surprise,Surprise
29,Proud,Surprise
30,Proud,Surprise
31,Surprise,Surprise
32,Surprise,Proud
33,Surprise,Trust
34,Joy,Proud
35,Proud,Proud
36,Surprise,Surprise
37,Trust,Proud
38,Surprise,Surprise
39,Proud,Proud
40,Surprise,Proud
41,Proud,Surprise
42,Proud,Proud
43,Anger,Surprise
44,Surprise,Surprise
45,Joy,Surprise
46,Surprise,Surprise
47,Surprise,Surprise
48,Surprise,Surprise
49,Surprise,Surprise
50,Joy,Surprise
51,Joy,Surprise
52,Surprise,Surprise
53,Surprise,Surprise
54,Joy,Surprise
55,Surprise,Surprise
56,Joy,Surprise
57,Surprise,Surprise
58,Surprise,Surprise
59,Joy,Surprise
60,Surprise,Surprise
61,Sad,Surprise
62,Anger,Surprise
63,Surprise,Trust
64,Joy,Surprise
65,Joy,Surprise
66,Joy,Surprise
67,Fear,Surprise
68,Surprise,Surprise
69,Surprise,Surprise
70,Joy,Surprise
71,Surprise,Joy
72,Surprise,Surprise
73,Surprise,Surprise
74,Surprise,Surprise
75,Proud,Trust
76,Trust,Trust
77,Surprise,Surprise
78,Proud,Surprise
79,Neutral,Trust
80,Proud,Proud
81,Joy,Trust
82,Sad,Surprise
83,Surprise,Proud
84,Trust,Trust
85,Trust,Trust
86,Trust,Surprise
87,Proud,Trust
88,Surprise,Proud
89,Trust,Trust
90,Fear,Trust
91,Neutral,Trust
92,Surprise,Trust
93,Proud,Trust
94,Surprise,Trust
95,Trust,Trust
96,Proud,Trust
97,Trust,Trust
98,Trust,Trust
99,Trust,Trust
100,Proud,Trust
101,Trust,Trust
102,Surprise,Trust
103,Surprise,Surprise
104,Sad,Trust
105,Proud,Surprise
106,Proud,Surprise
107,Surprise,Fear
108,Surprise,Surprise
109,Proud,Surprise
110,Trust,Surprise
111,Joy,Surprise
112,Joy,Surprise
113,Anger,Proud
114,Surprise,Surprise
115,Surprise,Joy
116,Joy,Surprise
117,Proud,Proud
