id,y,oof
1,Surprise,Surprise
2,Surprise,Surprise
3,Surprise,Surprise
4,Surprise,Surprise
5,Proud,Trust
6,Surprise,Surprise
7,Proud,Trust
8,Proud,Surprise
9,Trust,Proud
10,Surprise,Surprise
11,Proud,Surprise
12,Trust,Surprise
13,Trust,Surprise
14,Trust,Surprise
15,Surprise,Surprise
16,Surprise,Proud
17,Surprise,Proud
18,Sad,Trust
19,Trust,Surprise
20,Surprise,Anger
21,Surprise,Surprise
22,Surprise,Surprise
23,Surprise,Surprise
24,Surprise,Surprise
25,Surprise,Surprise
26,Surprise,Surprise
27,Surprise,Surprise
28,Surprise,Surprise
29,Proud,Proud
30,Proud,Surprise
31,Surprise,Surprise
32,Surprise,Proud
33,Surprise,Surprise
34,Joy,Surprise
35,Proud,Surprise
36,Surprise,Proud
37,Trust,Surprise
38,Surprise,Surprise
39,Proud,Proud
40,Surprise,Proud
41,Proud,Surprise
42,Proud,Surprise
43,Anger,Surprise
44,Surprise,Surprise
45,Joy,Joy
46,Surprise,Anger
47,Surprise,Surprise
48,Surprise,Surprise
49,Surprise,Surprise
50,Joy,Trust
51,Joy,Proud
52,Surprise,Trust
53,Surprise,Surprise
54,Joy,Surprise
55,Surprise,Surprise
56,Joy,Surprise
57,Surprise,Proud
58,Surprise,Joy
59,Joy,Surprise
60,Surprise,Joy
61,Sad,Surprise
62,Anger,Surprise
63,Surprise,Surprise
64,Joy,Proud
65,Joy,Surprise
66,Joy,Surprise
67,Fear,Anger
68,Surprise,Surprise
69,Surprise,Surprise
70,Joy,Surprise
71,Surprise,Surprise
72,Surprise,Proud
73,Surprise,Surprise
74,Surprise,Trust
75,Proud,Trust
76,Trust,Trust
77,Surprise,Surprise
78,Proud,Surprise
79,Neutral,Trust
80,Proud,Proud
81,Joy,Surprise
82,Sad,Surprise
83,Surprise,Proud
84,Trust,Proud
85,Trust,Joy
86,Trust,Proud
87,Proud,Trust
88,Surprise,Trust
89,Trust,Trust
90,Fear,Trust
91,Neutral,Trust
92,Surprise,Trust
93,Proud,Trust
94,Surprise,Trust
95,Trust,Trust
96,Proud,Trust
97,Trust,Trust
98,Trust,Trust
99,Trust,Trust
100,Proud,Trust
101,Trust,Trust
102,Surprise,Trust
103,Surprise,Trust
104,Sad,Surprise
105,Proud,Trust
106,Proud,Surprise
107,Surprise,Trust
108,Surprise,Surprise
109,Proud,Proud
110,Trust,Surprise
111,Joy,Trust
112,Joy,Proud
113,Anger,Anger
114,Surprise,Joy
115,Surprise,Trust
116,Joy,Proud
117,Proud,Trust
118,Proud,Proud
119,Anger,Surprise
