id,y,oof
1,Surprise,Trust
2,Surprise,Surprise
3,Surprise,Surprise
4,Surprise,Surprise
5,Proud,Joy
6,Surprise,Surprise
7,Proud,Joy
8,Proud,Joy
9,Trust,Surprise
10,Surprise,Surprise
11,Proud,Joy
12,Trust,Surprise
13,Trust,Surprise
14,Trust,Proud
15,Surprise,Surprise
16,Surprise,Surprise
17,Surprise,Surprise
18,Sad,Surprise
19,Trust,Fear
20,Surprise,Surprise
21,Surprise,Surprise
22,Surprise,Neutral
23,Surprise,Surprise
24,Surprise,Joy
25,Surprise,Surprise
26,Surprise,Surprise
27,Surprise,Surprise
28,Surprise,Surprise
29,Proud,Surprise
30,Proud,Surprise
31,Surprise,Surprise
32,Surprise,Surprise
33,Surprise,Surprise
34,Joy,Proud
35,Proud,Surprise
36,Surprise,Loyalty
37,Trust,Surprise
38,Surprise,Surprise
39,Proud,Proud
40,Surprise,Surprise
41,Proud,Surprise
42,Proud,Surprise
43,Anger,Surprise
44,Surprise,Surprise
45,Joy,Joy
46,Surprise,Surprise
47,Surprise,Sad
48,Surprise,Surprise
49,Surprise,Surprise
50,Joy,Surprise
51,Joy,Surprise
52,Surprise,Joy
53,Surprise,Surprise
54,Joy,Proud
55,Surprise,Surprise
56,Joy,Surprise
57,Surprise,Surprise
58,Surprise,Surprise
59,Joy,Joy
60,Surprise,Surprise
61,Sad,Surprise
62,Anger,Surprise
63,Surprise,Surprise
64,Joy,Surprise
65,Joy,Surprise
66,Joy,Joy
67,Fear,Anger
68,Surprise,Surprise
69,Surprise,Surprise
70,Joy,Surprise
71,Surprise,Joy
72,Surprise,Trust
73,Surprise,Surprise
74,Surprise,Joy
75,Proud,Surprise
76,Trust,Surprise
77,Surprise,Surprise
78,Proud,Surprise
79,Neutral,Neutral
80,Proud,Trust
81,Joy,Surprise
82,Sad,Neutral
83,Surprise,Surprise
84,Trust,Trust
85,Trust,Proud
86,Trust,Sad
87,Proud,Sad
88,Surprise,Surprise
89,Trust,Surprise
90,Fear,Surprise
91,Neutral,Surprise
92,Surprise,Surprise
93,Proud,Surprise
94,Surprise,Surprise
95,Trust,Surprise
96,Proud,Surprise
97,Trust,Surprise
98,Trust,Surprise
99,Trust,Surprise
100,Proud,Surprise
101,Trust,Surprise
102,Surprise,Surprise
103,Surprise,Proud
104,Sad,Trust
105,Proud,Joy
106,Proud,Surprise
107,Surprise,Anger
108,Surprise,Surprise
109,Proud,Joy
110,Trust,Love
111,Joy,Surprise
112,Joy,Love
113,Anger,Anger
114,Surprise,Proud
115,Surprise,Joy
116,Joy,Surprise
117,Proud,Trust
118,Proud,Anger
119,Anger,Surprise
120,Surprise,Joy
121,Trust,Joy
122,Joy,Surprise
123,Love,Joy
124,Surprise,Proud
125,Proud,Proud
126,Proud,Joy
127,Proud,Proud
128,Surprise,Surprise
129,Surprise,Trust
130,Surprise,Joy
131,Surprise,Sad
132,Sad,Anger
133,Surprise,Surprise
134,Anger,Anger
135,Proud,Trust
136,Anger,Trust
137,Surprise,Anger
138,Proud,Trust
139,Surprise,Joy
140,Surprise,Surprise
141,Surprise,Surprise
142,Surprise,Surprise
143,Surprise,Surprise
144,Surprise,Surprise
145,Sad,Surprise
146,Surprise,Surprise
147,Surprise,Surprise
148,Trust,Anger
149,Surprise,Joy
150,Trust,Sad
151,Proud,Sad
152,Trust,Fear
153,Surprise,Surprise
154,Trust,Surprise
155,Surprise,Surprise
156,Surprise,Surprise
157,Trust,Fear
158,Surprise,Surprise
159,Surprise,Surprise
160,Surprise,Surprise
161,Surprise,Surprise
162,Surprise,Surprise
163,Trust,Proud
164,Surprise,Surprise
165,Proud,Surprise
166,Proud,Surprise
167,Anger,Sad
168,Surprise,Surprise
169,Trust,Sad
170,Joy,Surprise
171,Surprise,Surprise
172,Surprise,Surprise
173,Surprise,Surprise
174,Trust,Surprise
175,Surprise,Sad
176,Surprise,Anger
177,Proud,Surprise
178,Surprise,Surprise
179,Surprise,Surprise
180,Surprise,Joy
181,Surprise,Joy
182,Trust,Surprise
183,Surprise,Surprise
184,Surprise,Surprise
185,Surprise,Surprise
186,Surprise,Joy
187,Surprise,Joy
188,Surprise,Surprise
189,Surprise,Surprise
190,Trust,Surprise
191,Surprise,Surprise
192,Surprise,Sad
193,Proud,Proud
194,Surprise,Surprise
195,Trust,Surprise
196,Surprise,Surprise
197,Surprise,Surprise
198,Proud,Joy
199,Anger,Surprise
200,Proud,Surprise
201,Surprise,Sad
202,Proud,Trust
203,Proud,Trust
204,Proud,Sad
205,Proud,Surprise
206,Trust,Trust
207,Trust,Surprise
208,Surprise,Surprise
209,Trust,Surprise
210,Trust,Surprise
211,Trust,Surprise
212,Surprise,Surprise
213,Surprise,Surprise
214,Proud,Surprise
215,Surprise,Proud
216,Trust,Proud
217,Trust,Trust
218,Sad,Surprise
219,Trust,Proud
220,Surprise,Proud
221,Surprise,Surprise
222,Proud,Sad
223,Surprise,Surprise
224,Surprise,Proud
225,Proud,Joy
226,Trust,Proud
227,Surprise,Sad
228,Proud,Surprise
229,Surprise,Surprise
230,Proud,Proud
231,Trust,Proud
232,Trust,Proud
233,Trust,Trust
234,Proud,Proud
235,Surprise,Proud
236,Surprise,Surprise
237,Surprise,Surprise
238,Proud,Trust
239,Trust,Proud
240,Surprise,Sad
241,Proud,Trust
242,Trust,Proud
243,Trust,Proud
244,Surprise,Proud
245,Sad,Proud
246,Trust,Proud
247,Surprise,Surprise
248,Surprise,Surprise
249,Trust,Surprise
250,Proud,Surprise
251,Surprise,Surprise
252,Surprise,Surprise
253,Trust,Neutral
254,Surprise,Trust
255,Surprise,Trust
256,Proud,Surprise
257,Joy,Trust
258,Trust,Surprise
259,Proud,Trust
260,Surprise,Surprise
261,Surprise,Trust
262,Trust,Neutral
263,Surprise,Joy
264,Joy,Joy
265,Trust,Surprise
266,Proud,Trust
267,Surprise,Surprise
268,Joy,Trust
269,Proud,Trust
270,Surprise,Surprise
271,Trust,Trust
272,Trust,Joy
273,Joy,Trust
274,Surprise,Neutral
275,Surprise,Trust
276,Surprise,Trust
277,Trust,Trust
278,Joy,Trust
279,Joy,Trust
280,Joy,Joy
281,Trust,Trust
282,Joy,Surprise
283,Joy,Trust
284,Trust,Surprise
285,Trust,Love
286,Surprise,Trust
287,Neutral,Trust
288,Proud,Trust
289,Surprise,Surprise
290,Surprise,Surprise
291,Proud,Trust
292,Trust,Joy
293,Proud,Joy
294,Surprise,Surprise
295,Anger,Surprise
296,Anger,Surprise
297,Surprise,Surprise
298,Anger,Surprise
299,Surprise,Surprise
300,Surprise,Surprise
301,Anger,Surprise
302,Trust,Surprise
303,Surprise,Surprise
304,Proud,Surprise
305,Surprise,Surprise
306,Surprise,Surprise
307,Surprise,Surprise
308,Surprise,Surprise
309,Surprise,Surprise
310,Surprise,Surprise
311,Trust,Surprise
312,Proud,Surprise
313,Surprise,Surprise
314,Surprise,Surprise
315,Surprise,Surprise
316,Surprise,Surprise
317,Surprise,Surprise
318,Surprise,Surprise
319,Anger,Surprise
320,Surprise,Surprise
321,Surprise,Surprise
322,Surprise,Sad
323,Surprise,Surprise
324,Trust,Trust
325,Trust,Neutral
326,Trust,Surprise
327,Surprise,Trust
328,Surprise,Trust
329,Proud,Trust
330,Trust,Trust
331,Trust,Trust
332,Proud,Trust
333,Proud,Proud
334,Surprise,Proud
335,Proud,Proud
336,Proud,Trust
337,Surprise,Neutral
338,Proud,Proud
339,Proud,Proud
340,Surprise,Neutral
341,Proud,Proud
342,Proud,Proud
343,Anger,Proud
344,Proud,Trust
345,Surprise,Proud
346,Surprise,Surprise
347,Proud,Proud
348,Trust,Trust
349,Trust,Proud
350,Surprise,Surprise
351,Trust,Trust
352,Surprise,Trust
353,Surprise,Trust
354,Surprise,Surprise
355,Surprise,Anger
356,Trust,Trust
357,Proud,Surprise
358,Surprise,Surprise
359,Proud,Surprise
360,Surprise,Surprise
361,Surprise,Surprise
362,Surprise,Surprise
363,Surprise,Surprise
364,Surprise,Proud
365,Proud,Surprise
366,Surprise,Surprise
367,Surprise,Surprise
368,Surprise,Fear
369,Joy,Sad
370,Surprise,Neutral
371,Surprise,Surprise
372,Trust,Surprise
373,Surprise,Surprise
374,Trust,Surprise
375,Surprise,Surprise
376,Surprise,Surprise
377,Trust,Trust
378,Surprise,Trust
379,Loyalty,Surprise
380,Surprise,Trust
381,Surprise,Loyalty
382,Trust,Surprise
383,Proud,Trust
384,Surprise,Proud
385,Surprise,Surprise
386,Proud,Surprise
387,Surprise,Surprise
388,Surprise,Surprise
389,Surprise,Surprise
390,Trust,Surprise
391,Trust,Surprise
392,Trust,Surprise
